Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
HexCer(d16:1(15Me)/24:0(2OH),-0.478264012,0.588482414,0.297227763,0.94286941,-0.386895753,-0.248574011,0.268214731,0.299522255,-0.147429185,0.322791557,-0.230452236,-0.263321259,0.658275371,-0.138480215,0.289457834,0.113994645,-0.013303501,-0.391573067,0.18314558,0.174483156,-0.489152612,-0.394041068,-0.244025733,-0.225940975,-0.082361883,0.193747807,-0.512622927,-0.124781883,-0.696830683,-0.134370283,-0.631820218,-0.169497177
HexCer(d16:1/24:0),0.259077101,0.345773452,-0.166617073,-1.259405945,0.212284052,0.136780532,-0.775427031,0.094535607,-0.096115641,0.128028538,0.175825207,-0.224935366,-0.304760451,-0.685116106,-1.043834518,0.056479782,0.491001517,0.313173828,0.337342185,0.118705819,0.096743256,0.178769516,-0.096438046,-0.179117819,0.434735956,0.370370631,0.013236716,0.296380907,0.405044554,-0.518862584,0.205494455,-0.216537052
HexCer(d18:0/18:1),0.264731514,0.182931475,0.056953243,-0.593150237,0.425039595,0.302941103,-0.055755439,0.052773909,0.330543953,0.427795712,0.35440712,0.361351048,-0.115444257,0.214729533,-0.624916041,-0.176609904,-0.063017355,0.969171449,0.142160336,0.184490875,0.705934806,0.659837733,0.082480412,-0.016300051,0.227560177,0.200066792,0.689844807,0.363181085,0.776411216,-0.009590113,0.225484641,-0.091058394
HexCer(d18:0/24:0),-0.100088154,0.035552118,-0.163485601,-0.116378356,0.491180621,0.754535187,0.340355723,0.053175715,-0.122661521,0.038601744,-0.214582073,0.316557804,-0.075414623,0.401449091,-0.518395306,-0.349931061,-0.575908753,0.805412179,-0.332200392,0.076934186,0.9673566,0.737681196,0.391399363,0.293215839,-0.171135261,-0.288353727,0.496004902,0.362631465,0.884977938,0.386423377,0.595493733,0.305313013
HexCer(d18:1/18:0),0.045403441,-0.022088276,-0.066798463,-1.008563115,0.731458199,0.609306959,-0.386310911,-0.10222829,0.265491954,-0.181213024,0.345469657,0.372326561,-0.154282146,-0.016556717,-0.936312026,-0.478132494,0.098815766,0.615543757,0.141033142,0.154873268,0.54097445,0.616038036,0.301114928,-0.187964226,0.061263458,-0.181929369,0.436801178,0.112620692,0.652764079,-0.178529444,0.120331296,0.579897229
HexCer(d18:1/18:1),0.437060528,0.303384956,-0.07548436,-0.987698982,-0.157950714,-0.276305083,-0.62249469,-0.069463483,-0.388941963,0.063823513,0.309573793,-0.596997433,-0.334424403,-0.580095718,-0.907879297,-0.19585675,0.882442258,-0.062537268,0.433799371,0.22840539,-0.220918264,-0.021927723,-0.431651248,-0.265797164,0.752810569,0.662978041,0.180025398,0.057865996,0.360813032,-0.60066134,0.092633009,-0.375392906
HexCer(d18:1/22:0(2OH)),0.285820735,0.190188224,-0.26814964,-1.451186494,0.266014665,0.251023134,-0.944203355,0.07465336,-0.284552081,0.074839161,0.148876191,-0.339263176,-0.583334216,-0.781058849,-1.216072718,-0.111163349,0.469649879,0.433524992,0.376252163,0.088465145,0.069349652,0.146035335,-0.313783649,-0.257961319,0.612083998,0.384841098,-0.021353952,0.148645303,0.506727038,-0.581542548,0.222298983,-0.463091195
HexCer(d18:1/22:0),0.049550245,0.082196874,-0.071749452,-1.197285634,0.399171425,0.511133879,-0.158481775,0.275684323,0.076437114,0.148615422,0.050341331,0.164591358,-0.112241101,0.088548121,-1.014659503,-0.063047634,-0.328772562,0.762156025,-0.078055041,0.128019753,0.742233263,0.669457073,0.072643772,0.260965533,0.092939677,0.02281632,0.456892259,0.393053393,0.795980276,0.094525359,0.527899242,0.001250806
HexCer(d18:1/24:0),0.002897884,0.165194069,-0.159815295,-0.710677141,0.398258226,0.52915766,0.0650663,0.148890686,-0.006460926,0.144426616,0.010009477,0.235491857,-0.05539383,0.207441371,-0.827647733,-0.242806369,-0.211035256,0.725770519,-0.08042251,0.133193517,0.792780833,0.765941073,0.158203888,0.213213859,0.12053613,0.028880097,0.468307372,0.412095546,0.774668385,0.146049007,0.541606257,0.047956153
HexCer(d18:1/24:1),-0.664536919,0.543088429,0.23753964,0.467766713,-0.64956473,-0.497467484,0.076852467,0.485078723,-0.167550619,0.494108643,-0.197612009,-0.513819554,0.598678739,-0.251606875,0.275275502,0.245239014,0.110474735,-0.530438515,0.138176479,0.206825717,-0.848913494,-0.683458794,-0.301805577,-0.20341799,-0.041076634,0.262369214,-0.59111658,-0.344476618,-0.634156734,-0.665282702,-0.597652717,-0.317707838
HexCer(d18:1/26:1),0.20069079,0.2620818,-0.114853112,-0.901911508,0.402601768,0.317917333,-0.548714447,0.058526689,-0.102448497,0.141669077,0.042455411,0.041731084,-0.349219757,-0.310748758,-1.231566729,-0.096667067,0.224378799,0.676915296,0.268870362,0.214289147,0.659791228,0.579636256,-0.097530658,-0.051628366,0.500832883,0.230795417,0.365767702,0.39970742,0.719672637,-0.27014271,0.404495482,-0.280126745
HexCer(d18:2/24:0(2OH)),0.227818985,0.487035483,0.061604333,-0.4698476,0.201254423,0.163442861,-0.278635253,0.210888006,0.111409894,0.33494831,0.235519528,0.054187106,-0.030756203,-0.359455746,-0.722829178,0.090798621,0.256963949,0.359133695,0.525945584,0.230350423,0.257311985,0.140078718,-0.060499845,-0.05782125,0.397798611,0.424831762,0.077232623,0.303633574,0.142295653,-0.19569948,0.127691725,0.044777284
(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),-0.224743493,0.049310515,0.308835087,0.575482606,0.321847224,0.25493659,0.603240853,0.200266861,0.116018859,0.165566986,0.047678192,0.238066209,0.139571386,0.403422029,0.346685987,0.129033872,-0.095675594,0.054500717,0.027965063,0.144016453,0.394250748,0.075604088,0.451218936,0.398789839,-0.497699847,-0.112013009,0.096787948,0.126051831,-0.201772011,0.614313387,0.183375863,0.086720823
