SID,Group-Blind,Beh-Test,Rad-Condition,PctTime_FamiliarObj,PctTime_NovelObj,PS(22:6/22:4),DG(19:1/17:2/0:0)[iso2],PE-NMe2(20:4/24:0),PE(15:1/23:0),(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),PC(18:0/24:4),HexCer(d18:1/26:1),PS(22:2/24:0),PE(20:4/0:0),DG(18:0/20:2/0:0),PE(P-18:0/19:0),DG(17:0/22:6/0:0)[iso2],HexCer(d18:1/18:1),9-octadecenolide,HexCer(d16:1/24:0),PI(20:4/18:0),PE(P-18:0/20:4),HexCer(d18:0/24:0),DG(18:1/0:0/20:1),DG(18:0/20:3/0:0),PE(18:0/20:3),DG(18:0/22:5/0:0),PE(P-18:1/22:6),DG(22:4/22:6/0:0)[iso2],PE(18:0/22:6),PC(16:1/22:6),PC(18:0/22:4),HexCer(d18:1/22:0),Cer(d18:1/24:1),PE(22:4/22:6),Cer(d18:1/24:0(3OH)),PC(18:1/22:0),PE(22:6/22:6),HexCer(d18:1/24:1),PE(15:1/19:0),DG(22:6/18:1/0:0),PC(18:1/22:1),PE(18:1/0:0),7-alpha-hydroxy-4-cholesten-3-one-d7,Cer(d18:1/20:0(3OH)),LysoPC(16:0),DG(O-16:0/18:1),LysoPC(22:6),PG(18:4/14:1),DG(20:5/22:3/0:0)[iso2],PC(20:4/0:0),PC(P-18:0/18:3),PE(P-16:0/20:2),DG(a-15:0/0:0/17:0),PE(22:4/0:0),"5-alpha-Cholesta-7,24-dien-3-beta-ol",PS(13:0/12:0),PE(18:0/21:0),PE(22:6/16:0),PE(22:6/18:2),PC(18:2/16:1),PC(18:1/0:0),1-Palmitoyl-2-linoleoyl PE,HexCer(d18:0/18:1),MG(0:0/22:6/0:0),DG(16:0/0:0/20:4),PE(16:0/18:2),PS(18:0/22:6),PE(20:4/22:6),DG(16:0/20:4/0:0),DG(16:0/0:0/18:1),PC(17:2/17:2),PE(22:4/18:4),DG(20:4/18:1/0:0),PC(16:1/16:1),SM(d14:0/26:1),PC(18:1/24:0),Cer(d18:2/24:0(2OH)),PC(18:0/0:0),DG(16:1/0:0/22:5),PE(22:6/0:0),PC(22:6/22:6),DG(22:4/22:6/0:0),PC(O-22:2/20:2),PC(17:0/22:6),PE(16:0/20:4),HexCer(d18:1/18:0),PC(16:0/0:0),DG(18:1/18:0/0:0),PC(16:0/14:0),DG(18:1/18:2/0:0),TG(16:0/22:6/18:1),HexCer(d16:1(15Me)/24:0(2OH),PE(P-16:0/20:3),Cer(t26:1/16:0(2OH)),MG(20:4/0:0/0:0),PE(P-16:0/22:6),PC(18:2/22:6),MG(16:0/0:0/0:0) ,PE(22:2/P-16:0),PE(16:1/22:6),DG(20:0/18:0/0:0),Ceramide (d18:1/18:1),PE(22:5/18:0),Cer(d18:2/18:0),Cer(d18:1/22:0(3OH)),PC(8:0/6:0),HexCer(d18:1/22:0(2OH)),PE(18:1/18:1),SM(d16:1/26:1),PC(P-18:0/20:5),Sphinganine 1-phosphate,PE(P-18:0/18:1),Oreacerebroside F,5-alpha-cholest-22E-en-3beta-ol,PE(P-18:0/22:6),PE(18:1/22:6),PI(22:1/18:2),PE(19:0/0:0),PC(P-16:0/20:0),PE(P-16:0/18:1),DG(18:0/20:1/0:0),DG(18:0/22:6/0:0)[iso2],TG(16:0/16:0/22:6),Cer(d18:0/22:0),PE(22:4/18:0),"Anandamide (20:1, n-9)",MG(0:0/18:0/0:0),PE(18:1/20:1),DG(18:0/20:4/0:0)[iso2],MG(0:0/20:4/0:0),PC(O-18:0/16:0),HexCer(d18:1/24:0),PC(18:2/20:5),SM(d18:1/16:0),PE(P-18:0/20:1),SM(d18:0/18:1),SM(d18:1/18:1),PE(18:0/20:4),TG(16:0/16:0/18:1),PE(P-18:0/22:4),TG(18:0/16:0/18:1),PE(18:0/18:1),HexCer(d18:2/24:0(2OH)),PC(18:1/22:6),PC(20:4/18:1),Phosphocholine,PC(16:1/16:0),PC(22:6/16:0),PC(16:0/16:0)
1,A,NovelObject,Irr,63.04347829,36.95652171,0.315003593,0.054179326,0.109233805,0.16903105,0.394250748,-0.182388084,0.659791228,0.062098297,-0.050133145,-0.1170799,0.259798507,-0.413813022,-0.220918264,0.315475122,0.096743256,0.799871781,0.206018422,0.9673566,0.044141855,-0.031202553,-0.26347357,-0.225848697,0.145850841,0.396202999,0.023681483,-0.281243194,-0.166440346,0.742233263,0.106268633,0.312209378,-0.838697461,0.238871747,-0.127348593,-0.848913494,-0.135223481,-0.171964042,-0.043490184,0.28497994,1.33096688,0.160849002,-0.222059887,-0.130895911,-0.388367963,0.126540522,0.05553459,-0.248375343,-0.341051315,0.342135918,0.033554318,0.088699428,-0.012422002,0.276189373,-0.247214644,0.133473734,-0.138293785,-0.048938453,-0.409794717,0.120352425,0.705934806,-0.287248167,-0.499539686,0.194591156,0.475177186,-0.133238117,-0.077696175,-0.302779997,-0.255290722,0.395194777,0.26260812,-0.276792966,0.671813196,0.295265297,0.051173234,-0.001180311,-0.52712193,-0.182708443,-0.40415974,0.090248417,0.037928832,-0.390805521,-0.07863359,0.54097445,-0.148376307,-0.195967652,0.30123017,0.154921121,-0.584046796,-0.489152612,0.182908307,0.107879597,-0.043461387,-0.096633092,-0.137059763,-3.116186132,-0.02465973,-0.412286834,-2.807126536,0.152015285,-0.422222392,0.061817643,-0.333118078,0.260443809,0.069349652,0.073180494,-0.095735301,-0.094684175,0.01940531,0.068484914,0.208383818,0.234749847,-0.121684407,-0.094094741,-2.365547107,-0.224052985,-0.017225584,0.293429702,0.397147547,-0.56026907,-0.643056737,-4.087984972,-0.203626467,0.322642091,-3.345438684,-0.031952443,-0.455696879,-0.391600077,0.022173166,0.792780833,-0.22473336,0.119462547,0.240363906,0.410023391,-0.181711973,0.066396287,-0.709070201,0.042900884,-0.52867131,0.132078744,0.257311985,-0.093824976,0.411699506,0.481307641,0.033010612,0.119811177,0.326636058
2,A,NovelObject,Irr,43.64454739,56.35545261,0.160144924,-0.262517071,-0.051489619,0.16174644,0.075604088,-0.210121409,0.579636256,-0.024883279,-0.081683216,-0.063504152,0.216087139,-0.220455106,-0.021927723,0.262406619,0.178769516,0.619068985,0.072098682,0.737681196,-0.055393415,0.027792713,-0.053707743,-0.176790703,0.230740094,0.433801243,0.006440128,-0.21935016,-0.209386578,0.669457073,-0.056934303,0.139880797,-0.675050775,0.183705528,-0.074725816,-0.683458794,-0.11885293,-0.262286799,-0.033946734,0.158361056,0.828739927,-0.111671953,0.0000365,-0.016512518,-0.310205633,0.760890386,0.062534559,-0.168057322,-0.222266129,0.021330982,0.525830975,0.230046396,0.152814809,0.13463508,-0.098943645,-0.046165976,0.001668865,-0.058591736,-0.32620459,0.089841233,0.659837733,-0.01560945,-0.473311797,0.123371056,0.190692228,0.12498121,-0.153082622,-0.311434573,0.031721636,0.245203737,0.052018034,-0.244186046,0.337893736,0.230671213,0.048619584,0.025765002,-0.390580782,-0.018524556,-0.206721762,0.189197154,0.150431373,-0.231473052,0.336603692,0.616038036,0.131852681,-0.178717125,0.251245365,0.055500789,-0.36405855,-0.394041068,0.026214239,0.234972353,-0.240652262,-0.147744132,0.022938745,-3.223407992,-0.042681961,-0.140036796,-3.024339011,0.012800609,-0.21241502,-0.001817361,-0.352421106,-0.029404036,0.146035335,-0.193724996,0.038593881,0.044999714,-0.11518081,0.071322994,0.068976596,0.292074509,0.111250282,-0.015651092,-3.219638326,-0.292431711,-0.11105288,0.114500655,0.214689141,-0.410442885,-0.52516721,-4.920408358,-0.069105089,-0.136346095,-3.717359596,-0.074156066,-0.309325246,-0.541404709,0.208973126,0.765941073,-0.041704932,0.335094803,0.156784155,0.388265219,0.100868631,-0.06557125,-0.51278267,0.087309835,-0.40075355,0.096198955,0.140078718,-0.176126722,0.184147838,0.263362834,-0.143208924,0.102944351,0.130198243
3,B,NovelObject,Sham,55.22875361,44.77124639,0.349504036,0.154529406,-0.094760573,0.033761374,0.096787948,-0.180684811,0.365767702,0.176686792,0.146631544,0.011967992,0.104245773,-0.301662949,0.180025398,0.230519447,0.013236716,0.419835115,0.389637477,0.496004902,0.083570175,0.026512892,-0.063815331,0.039051209,0.177069497,0.553861903,0.120154185,-0.389060496,-0.369414012,0.456892259,-0.009054289,0.280679187,-0.477687287,0.109588593,-0.016318957,-0.59111658,-0.202142032,-0.121377955,-0.091508011,0.401192369,0.68057596,-0.250957001,-0.691883772,-0.053857281,-0.555017673,0.62476749,0.344500328,-0.455751071,-0.276646031,0.300212308,-0.077495012,0.061574592,-0.187743769,-0.143788397,-0.211689177,-0.073234325,-0.131020138,-0.120209908,-0.542200401,0.127356152,0.689844807,-0.150883613,-0.148033126,-0.071601117,0.055328201,0.049370495,0.103051108,0.133940946,-0.433127555,0.348466665,0.084378353,-0.270897513,-0.10192067,0.143863989,-0.018091024,-0.261644146,-0.374780916,-0.156489757,-0.359957063,0.37900588,0.027795304,-0.407637765,-0.106744507,0.436801178,-0.340259063,-0.300067295,0.347441806,0.431834283,-0.323845377,-0.512622927,0.4485717,-0.076245795,-0.029884456,-0.083100684,-0.167568124,0.16957888,0.028752431,-0.32942265,0.116230573,0.0884518,-0.026852056,-0.005828558,-0.432343635,-0.018333992,-0.021353952,-0.249911874,-0.097236926,-0.230181786,-0.096743636,0.199113515,0.01940495,0.046902679,0.161434994,-0.430581212,-0.196017153,-0.260710407,-0.088275102,0.342212103,0.298983743,-0.423241805,-0.297289758,0.288786043,0.058572757,-0.143295122,0.134380825,-0.175924626,-0.37838906,-0.05038954,-0.014665708,0.468307372,-0.031101989,-0.032624627,0.328271369,0.219572977,-0.278861016,0.093269027,-0.214011098,0.197861613,-0.167584781,-0.031608596,0.077232623,-0.262677899,0.163039909,0.184827085,0.017258317,-0.112905884,0.128190391
4,B,NovelObject,Sham,84.49998337,15.50001663,0.267106017,-0.086493494,-0.104091612,0.672533443,-0.201772011,-0.300012342,0.719672637,0.810342346,0.001641348,-0.081175581,0.124130624,-0.286231388,0.360813032,0.581369007,0.405044554,0.077166451,-0.131126046,0.884977938,0.642703027,0.049595834,-0.014036687,-0.046600038,-0.220110682,0.410120814,-0.409977979,-0.253604376,-0.285727112,0.795980276,-0.528855129,0.485080365,-0.590065013,0.344159507,0.334115763,-0.634156734,-0.102582921,-0.315661861,0.468391387,0.436483718,0.4131894,-0.333547064,-0.580453415,0.421992606,-0.370617528,0.540382761,0.414022177,-0.383853096,-0.14423686,0.459407714,-0.420371515,0.340636264,-0.167855333,-0.032804797,0.323646056,-0.446649217,0.089023337,-0.151223583,-0.037341212,0.197785261,0.776411216,0.040606833,0.087150467,0.341624903,-0.231837362,0.353511792,0.313598856,-0.189871109,-0.182084617,0.489008386,0.605002148,0.057821084,0.662197591,0.327084136,0.303690867,0.220086955,-0.221363203,-0.14488246,0.069569689,0.412051122,-0.147029364,-0.039821177,-0.320269706,0.652764079,0.07405006,-0.184898406,0.027011119,0.728349556,0.019212586,-0.696830683,0.601614948,-0.221925902,1.189770632,-0.255501944,0.11373483,-0.051070347,0.551488183,0.025816392,-0.168568486,-0.764948871,-0.144744518,-0.540944293,-0.59714289,-0.81210712,0.506727038,0.270969993,0.47960659,-0.005404092,-0.230866247,0.618346575,-0.118295671,-0.057523721,-0.073496682,-0.176875733,-0.489458626,0.011630692,0.249339054,0.337045416,0.588916504,-0.387454485,-0.19866236,-0.022715959,-0.089155408,0.313915349,-0.012398306,0.462891205,0.02887375,0.018884935,0.090107721,0.774668385,-0.004563915,0.222903488,0.7317918,0.053031525,0.100164785,-0.126773589,-0.235094813,0.36885252,-0.146613817,0.312584964,0.142295653,-0.021217966,0.050670533,-0.204667239,0.007800196,-0.184323455,-0.214595982
5,A,NovelObject,Irr,43.82922101,56.17077899,0.494106426,0.328729787,0.083288069,0.759654925,0.054500717,-0.766967294,0.676915296,0.119567864,0.050189625,-0.401534335,-0.200387823,-0.40460754,-0.062537268,0.48737563,0.313173828,0.676894806,0.418924364,0.805412179,0.522006132,0.021467671,0.332032872,-0.527548048,-0.369136655,-0.242159986,0.210073742,-0.839733246,-0.989231484,0.762156025,0.138067903,0.073756694,-0.391899546,0.343212577,-0.530972212,-0.530438515,-0.059817567,-0.414733164,0.035332263,0.939610808,0.459142829,-0.475366252,-0.842236122,0.198316795,-0.702128045,0.646032737,-0.533161732,-0.753153519,-0.733680919,0.73098917,-0.373100109,-0.031534407,-0.202418163,-0.58902291,-0.1293753,0.146755129,-0.645772972,-0.592739195,-0.762047907,0.209046655,0.969171449,-0.968570578,-0.775438896,-0.06208949,0.616177476,-0.501491225,-0.622237134,-0.013427634,-0.897271201,-0.007633245,-0.350406584,-0.438326105,-0.000962888,0.283608243,0.257562005,-0.437044552,-0.887952576,-0.409154419,-0.752531386,0.393735941,0.068537675,-0.663763857,-0.116523824,0.615543757,-0.604305592,-0.196133043,0.669530734,0.181463249,-1.235386367,-0.391573067,0.807702298,-0.097384393,0.080268613,-0.158894591,-0.708073347,0.152592088,0.598338225,-0.937400675,0.232211332,-0.15479442,-0.19893594,-0.237015871,-0.277347582,-0.119557218,0.433524992,-0.10465951,0.204976944,-0.442463044,-0.192494088,0.713445817,0.128909383,0.04036164,-0.012705929,-0.432138624,-0.19550967,-0.721250166,0.207875627,0.935745306,0.659153541,-1.207851803,-1.004945804,0.261876654,-0.200069854,0.027542899,0.186787225,0.277975295,-0.564596842,-0.691210071,-0.235014516,0.725770519,-0.88192749,-0.466838403,0.832335263,0.082313136,-0.511744122,-0.179310147,-0.842086109,0.02259363,-0.655747607,0.260586833,0.359133695,-0.55363216,0.164629919,0.158823489,-0.175417674,-0.485906091,0.260248526
6,A,NovelObject,Irr,27.65780374,72.34219626,0.551589521,0.376716407,-0.018724184,-0.180402223,0.451218936,0.101130468,-0.097530658,-0.027514001,0.072678909,-0.196953221,-0.409265443,-0.402900441,-0.431651248,-0.148673023,-0.096438046,0.68947309,0.397850506,0.391399363,-0.205768262,-0.034790749,-0.363077496,-0.343701904,0.0542618,0.296311738,-0.105128574,-0.045922398,0.117656679,0.072643772,-0.395192269,0.196588027,-0.299172363,-0.103230199,-0.119359421,-0.301805577,-0.1753726,-0.055722879,-0.085798909,0.327951524,0.422230559,-0.208971105,-0.536747848,-0.281019857,-0.335214653,0.468036017,-0.20245845,-0.301060988,-0.222916202,0.313948481,-0.43113125,0.0644755,-0.066365715,-0.141018894,-0.281400418,-0.322746273,-0.191451035,0.196813184,-0.382844962,0.090503149,0.082480412,-0.173215232,-0.340686723,0.067726825,0.635571842,-0.122267442,-0.057441102,-0.179731615,-0.198125057,0.346785774,0.198318156,-0.22796396,0.194695741,-0.095401789,-0.207731232,-0.315522391,-0.452691043,-0.157258439,-0.137012318,0.35217898,0.430147245,-0.251008425,-0.230195284,0.301114928,-0.360229599,-0.144237102,-0.291072722,0.558593494,-0.370162357,-0.244025733,-0.006927528,-0.302145857,0.136896016,-0.140448211,-0.036148061,0.176624439,-0.123613293,-0.424020093,-0.082424624,0.059949508,-0.496019442,-0.113785507,-0.161408579,-0.148657402,-0.313783649,-0.082704167,-0.227523215,-0.089727376,-0.202605894,-0.144333848,0.355652462,0.171286692,-0.033498077,-0.370892386,-0.316900513,-0.383953868,-0.146675493,-0.022144669,0.043829906,-0.31317341,-0.493984822,0.053326226,-0.259241467,0.340771779,0.15504129,-0.320281412,-0.395271352,-0.315306038,-0.456072787,0.158203888,-0.123724679,-0.055762341,-0.171107555,0.324108506,0.182510782,0.022609176,-0.710990661,-0.213241401,-0.666744822,-0.205607992,-0.060499845,0.010068615,0.515302643,0.33268686,0.111647692,0.284450294,0.181330295
7,B,NovelObject,Sham,67.69025553,32.30974447,0.195596784,0.018240637,0.308292248,0.186953671,0.086720823,-0.047825152,-0.280126745,-0.327167543,0.152518935,-0.143942741,-0.239200138,0.288753564,-0.375392906,-0.174980722,-0.216537052,0.72146622,0.27187292,0.305313013,0.034501228,0.004771365,0.052536413,0.025508823,-0.204178041,0.161373274,0.125343662,0.007105426,-0.098109348,0.001250806,-0.575312136,0.03525846,-0.448039237,-0.231550028,-0.25252066,-0.317707838,0.352281214,0.146978689,-0.194706735,0.336796492,0.299870239,-0.518476126,-0.34020534,-0.376364716,-0.280956107,0.56791647,0.014498334,-0.239015487,-0.146162329,0.329748854,0.099944827,-0.146687718,0.096359124,-0.190444465,0.047434274,0.000206879,-0.217376191,0.088358308,-0.237806259,0.57389018,-0.091058394,-0.416642219,-0.496097583,0.75419432,0.613459601,-0.414529891,-0.108671935,0.153119561,-0.031238331,0.353589382,0.291089917,-0.086137295,0.489166825,-0.038016584,-0.15059216,-0.282558623,-0.502545779,-0.122971415,-0.286364661,0.250473836,0.071894989,0.244195862,0.026924356,0.579897229,-0.248466491,-0.369970484,0.098914063,-0.045397811,-0.219938936,-0.169497177,-0.18417952,-0.142003972,0.463944451,-0.078348494,-0.315161747,-0.030118862,0.063436487,-0.301966764,-0.259992585,-0.67601374,0.050573208,-0.672510128,-0.397456191,-0.886788309,-0.463091195,0.59028423,-0.171129414,0.07799735,-0.06467928,0.080876076,0.288712241,0.229030693,0.155830652,-0.031303178,-0.416131187,-0.384464951,0.071808098,0.324686178,0.14591203,-0.511474404,-0.274496621,-0.199663504,0.088964117,-0.029461633,0.060811365,0.096918443,-0.471927519,-0.50882824,-0.18787091,0.047956153,0.175498966,0.346716738,0.044845573,0.396234393,-0.211827755,0.340256721,-0.195042812,-0.176236718,-0.231239272,0.084620893,0.044777284,-0.073159509,0.345326233,0.496667772,0.11649365,0.121279866,0.202000143
