"Based on noiseRem,RT,Repeat Rem",Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5
Accepted Compounds,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx
1,-1.131186763,-0.139979242,0.174024574,0.063278641,0.086510697,0.35814472,-0.370171677,-0.338364534,0.075043259,0.27212148,0.781085586,0.362049765,-0.639348318,0.318802215,0.176824032,0.289780575,-0.186398622,0.250418783,0.185020013,0.409235009,-0.116869378,0.206925554,0.232022355,0.659693176,0.083844098,-0.796761951,-0.167867163,0.114070088,-0.024059354,-0.003085118,0.498686466,0.219407736,-0.166540411,0.024806708,-0.085055334,-0.05245708,0.061700194
2,-0.341960102,-0.126284823,-0.841879045,0.166400215,-0.366118399,0.39989812,0.069789884,-1.01525997,0.181571637,0.314154936,0.014430552,-0.32698129,-0.687551516,0.203838622,0.183882397,0.193663791,-0.56625977,-0.370088996,-0.155709716,-0.205738574,-0.123976696,-0.141127695,0.120621778,0.119900847,-0.130821927,-0.211293221,-0.23699635,-0.499085065,-0.046107681,-0.281407805,0.283451405,0.201525128,-0.590835933,-0.041751647,-0.169287819,-0.375279185,-0.450555878
3,0.008212303,0.314853508,-0.269807578,-0.136904604,-0.104620702,-0.1687665,0.297743017,-0.026003132,0.009923722,0.444351655,0.110142992,0.040990098,-0.244126943,-0.272234225,0.038960815,0.14920032,0.138226696,0.204970796,0.15078873,0.229539591,-0.003721186,-0.21085159,0.13439598,-0.374353388,0.15408627,0.211996487,-0.015688663,0.353362904,0.541559038,-0.176522109,-0.318303256,-0.205831779,-0.011732398,-0.181475444,-0.234113352,-0.299656431,-0.371590117
4,-0.058596014,-0.001993217,-0.237563129,-0.018717579,0.020617227,0.05973632,0.634511691,0.180819046,-0.24759798,-0.157141613,-0.102252459,-0.463002395,0.895313325,-0.064219277,-0.029455859,0.077011035,0.371318054,-0.251438901,-0.03670727,-0.277333776,0.033467127,-0.107955254,-0.074020659,-0.890153905,0.267923124,-0.009370878,-0.167167632,-0.316644617,-0.033008759,-0.061843576,-0.408204339,-0.224446739,0.050112438,-0.494853346,-0.301781116,-0.090976713,0.151711663
5,-0.563746065,-0.21441103,-0.352056924,-0.014894965,0.043850772,-0.014723491,-0.299360241,-0.337343583,-0.315364476,-0.062448406,-0.391548202,-0.068839873,-0.958349933,-0.039177946,-0.336474358,0.0672388,-0.129349906,-0.267855503,-0.055553467,0.06924908,-0.187358514,0.034872315,0.010057493,0.164454423,-0.414425032,-0.359341769,-0.223483514,-0.135977961,-0.031062344,-0.17570894,-0.031277836,0.068252332,-0.471881295,-0.148094198,-0.006712886,-0.239583019,-0.410005238
6,0.029939621,-0.149681549,0.53218043,0.115673775,-0.12622161,0.061427281,-0.149986533,0.206765286,-0.154434804,0.164652303,0.26307594,0.416244552,-0.736612055,0.194634769,0.169249699,-0.112272443,-0.245972831,0.440673299,-0.14643119,0.40761879,0.187800655,0.279594324,0.224703695,0.383149491,-0.095739729,0.005445172,-0.040452937,0.152897744,0.232366696,0.427962841,0.310540938,0.116170582,-0.126013671,0.413634707,0.510474366,0.359163781,0.403587586
7,0.24954808,0.16725719,-0.238848227,0.019478986,0.173691179,-0.230654934,0.469457213,0.24819109,0.236729289,0.056811534,0.114378056,-0.28065758,0.654950427,-0.152445251,0.061993263,0.183992899,0.628612503,-0.127105557,0.265608512,-0.124798813,0.012660411,-0.247618118,0.192212521,-0.871974024,0.294780562,0.37534233,0.02310679,-0.121245033,0.125239561,-0.109779802,-0.24093291,0.047761719,0.122927866,-0.23988607,-0.202194931,-0.20022187,-0.165703667
8,0.138804724,0.036148582,-0.140175242,-0.414430822,-0.107729417,-0.284414605,0.406583045,0.29159049,0.49410799,0.318895809,0.504643301,0.256383255,0.800145135,0.563535598,0.750293452,0.638266195,0.271369116,-0.499400816,0.408361546,0.303167478,0.172371622,-0.231958193,0.528309067,-0.680122573,0.011551326,0.260637136,-0.241037169,-0.397915962,-0.070453405,0.05331311,-0.141499858,0.358490695,0.129351541,0.227776742,0.389428346,0.44191748,0.532378098
9,-0.186915497,0.038683085,-0.382005788,0.165724811,-0.171328504,-0.040115127,0.010238329,-0.463815925,0.303351093,0.410803102,0.261498363,0.074450675,-0.937331369,-0.062581275,0.013346656,0.146581426,-0.348459507,0.048175233,-0.187605755,-0.023342199,-0.138278059,-0.186991766,-0.012158636,0.106451552,0.145676867,-0.152578567,0.056148306,-0.295235285,-0.151496011,-0.199512929,0.307861285,-0.012519055,0.093971228,-0.045003786,-0.155707409,-0.430380605,-0.232092761
10,0.252703617,0.243369962,0.354784681,0.513556195,-0.049008074,-0.195654827,0.054767108,0.113652373,0.531326315,0.400334077,0.310373508,0.5825482,-1.133051176,-0.193298495,-0.244029573,-0.290395225,-0.141575187,0.641789884,0.003038898,0.581646878,-0.366444757,0.323082501,0.05245787,0.140181642,0.398534019,0.021805217,0.44731596,-0.104131318,0.574598712,0.041205393,0.092051714,-0.23269437,0.3799215,0.022214691,-0.049497179,-0.042944403,-0.087596493
13,0.659144764,0.273816338,0.194448653,0.022779123,0.140761645,-0.204087488,0.135675954,0.378270117,0.589511113,0.057859325,0.104042555,0.031148995,-0.48246208,-0.019605652,0.113040983,-0.140807464,0.696041549,-0.300713309,0.16573133,0.158108762,0.042248918,-0.011710327,0.049511805,-0.792692749,0.413026433,0.848078559,0.410703583,-0.107009335,0.034108237,0.033500552,-0.220351446,-0.063816872,0.519925684,-0.020133328,-0.024074071,0.006413464,0.041420841
14,0.22799434,-0.030219981,-0.164693222,0.008725275,0.099204929,-0.180846343,0.28442823,0.1262954,0.127783225,0.119994809,0.070005518,-0.376555595,0.949007912,-0.022999484,0.104002343,0.121381869,0.569255748,-0.257206078,0.272368583,-0.083020647,0.094198309,-0.268162772,0.148596705,-1.071862755,0.197633563,0.309929822,-0.004211795,-0.24977241,0.008094578,-0.038164342,-0.373864309,-0.21978634,0.32465302,0.026286139,-0.075713435,-0.015272072,-0.075371761
15,0.411701886,0.288150824,-0.201610682,-0.169748429,0.095151108,-0.318465673,0.400947461,0.180526886,0.361537819,0.253153817,0.100824349,-0.062176048,0.618397346,-0.047541074,0.280557023,0.29927062,0.561796214,-0.146725591,0.361374637,0.072056473,0.119225458,-0.286285042,0.235765763,-0.725783073,0.194302995,0.502206507,0.109998474,-0.210424722,0.242206517,-0.101732481,-0.398386932,-0.136816295,0.265053945,-0.105685616,-0.099001258,-0.055677977,-0.058898341
16,-1.220537082,-0.448305532,-0.769470735,-0.038095323,0.090036551,0.274804111,-0.250551494,-1.433130732,-0.893061717,0.175760815,-0.196585212,-0.555703263,-0.379493364,-0.048423519,-0.438486919,-0.18827235,-0.551190589,-0.141025328,0.008737192,-0.219261497,-0.257141261,0.161378734,0.096908284,0.247543932,-0.338437585,-0.641020457,-0.662743805,-0.133897287,-0.07899032,-0.339824893,0.293373839,-0.038286836,-0.649669924,-0.309077203,-0.280070078,-0.317110417,-0.365279411
17,-0.489879016,-0.037527577,-0.506363658,-0.039194714,-0.37729166,0.101350329,-0.138104447,-0.801983013,0.00758623,0.166436807,0.030925067,-0.27032088,-0.797975616,-0.036334581,-0.071314253,0.042689218,-0.496918143,-0.213396892,-0.143927346,-0.159159698,-0.219000239,-0.131687263,-0.091885794,0.116832983,-0.266649893,-0.237511962,-0.198067497,-0.400676444,-0.094437157,-0.353358129,0.200631761,-0.011558854,-0.482135917,-0.191943757,-0.324068093,-0.436116296,-0.529664682
18,-0.330373855,-0.116191731,-0.214886178,0.074919871,0.089601862,0.100781197,0.327260553,-0.180034546,-0.227242133,-0.137885949,-0.010821739,-0.373469837,0.704316309,-0.014249823,-0.041417525,0.242500486,0.078465363,-0.187462565,0.020582885,-0.249743238,0.079028451,-0.346110735,0.228819329,-0.474447029,-0.134742837,-0.406135547,-0.231683847,0.269463708,0.115088558,-0.036239376,0.104389771,0.303477095,-0.655393258,-0.37041755,-0.406001407,-0.342864264,-0.32963977
19,0.373919069,0.184738763,-0.124873665,-0.218461304,-0.027943772,-0.065187633,0.53372695,0.156111476,0.358907203,-0.034497608,0.043359567,-0.34538548,1.433223715,-0.189253191,0.079944167,0.112520019,0.485925786,0.001448287,0.157741786,-0.064302276,-0.006399767,-0.196259227,0.019278356,-1.046018846,0.542778737,0.420949306,0.08635584,-0.297743139,0.245495135,0.04712475,-0.642550052,-0.155433281,0.265457199,-0.185892203,-0.080707243,0.105354093,0.149758545
20,0.19654659,0.164650328,-0.013552049,0.296100028,-0.004172189,0.228361753,0.125105775,-0.07397461,0.128624788,-0.085933281,0.020600636,-0.345721038,0.128601458,-0.22999413,-0.597382607,-0.271912904,0.150633362,0.140579256,-0.119549008,0.122577679,0.008159335,0.25659426,-0.041709297,-0.322512538,0.48421511,0.288602066,0.38816862,-0.018780825,0.185963193,0.001705807,-0.218172039,-0.335263398,0.189684509,-0.220226415,-0.364630032,-0.267674018,-0.304268071
21,0.349501774,0.281392029,0.36122794,-0.016338281,0.028826293,-0.007455547,0.081266226,0.050826327,0.166403185,-0.343216185,-0.185142673,-0.238999516,0.153159631,-0.346626064,-0.10294622,-0.33992279,0.17781534,0.272408647,-0.308129223,-0.134234182,-0.041728298,0.222576142,-0.285050846,-0.02405369,0.390258989,0.406937139,0.288261716,-0.108081146,0.207112413,0.163029464,-0.279203369,-0.121603735,0.028916663,-0.337951005,-0.13380579,-0.142314171,-0.120725986
22,0.318603031,0.223959754,0.458967655,0.308714179,0.113807486,0.278856269,-0.093922491,0.341405286,0.450615584,0.118941997,0.442126452,0.119692454,-1.356174569,0.278799032,-0.196431627,0.026747461,0.02563412,0.160531545,0.246923261,0.311435622,-0.041504551,0.439650856,0.197582372,0.055348995,0.306558659,0.274072375,0.509281849,0.355312944,0.020969179,0.223131012,0.311264143,0.206804479,0.465922286,-0.021186381,-0.108227303,0.056213085,-0.060170181
23,-0.034334074,0.23924766,0.011987804,0.026214543,0.165769069,0.194610909,-0.383179858,-0.166886023,-0.148770505,0.271538926,-0.080779567,0.09251162,-1.155469021,0.048116116,-0.429649378,0.05519598,-0.070773404,0.16250191,0.127416785,0.137186565,-0.100288174,0.080725782,0.253397647,0.056370472,-0.167065233,0.239892165,0.134300658,-0.404752811,-0.086873147,-0.226111267,-0.247697199,-0.191587599,-0.354032405,-0.175922522,0.093577146,-0.230824722,-0.037328024
24,-0.291171701,-0.209322914,-0.349809343,-0.297939092,-0.532954243,-0.087307519,0.046265287,-0.538268817,-0.155006085,0.448003279,-0.189224845,-0.220561396,0.80593495,-0.180392511,-0.503875436,-0.239742191,-0.305276007,0.055766712,-0.019894098,0.182864016,-0.619989546,-0.310180016,-0.312092102,-0.0755762,-0.130998049,-0.291390186,-0.2693133,-0.190073091,-0.005831474,-0.384370949,0.150323009,-0.136919301,-0.513150835,0.175233269,0.074025986,-0.024110895,-0.149314122
25,0.398543071,0.418583185,0.065992916,0.256227275,0.250217168,0.352887356,-0.297982441,-0.169237933,0.175247738,-0.096777511,-0.246907603,-0.247864189,-0.194024596,-0.096537112,-0.602315347,-0.154373529,0.003098647,-0.034520243,0.141715531,-0.254882573,0.150131269,0.253677026,-0.200736647,0.054016747,-0.025633972,0.408994211,0.486726877,0.249035074,-0.051700468,-0.33058867,-0.032699025,-0.304839823,0.129983531,-0.39958867,-0.425299076,-0.525059088,-0.58142231
26,0.154343491,0.230241692,0.315926816,0.075709591,0.160919438,0.299067484,0.135607189,0.314279487,0.295913537,0.18203287,0.327936662,0.164182884,-0.039744359,0.342078012,0.275505592,0.368760539,0.011146425,0.458335021,0.251016409,0.15570227,0.293522675,0.347064257,0.250936084,0.311334844,0.076904892,0.204886469,0.199017632,0.465239125,0.166148149,0.25999734,0.061550896,0.243462037,0.054216773,0.340946165,0.352590429,0.320972607,0.268680899
27,-0.141105084,-0.14748448,0.147595077,0.234188909,-0.040585759,0.164898205,-0.052768804,0.01265575,-0.100622294,0.399145271,0.195612905,0.403401497,-0.089405124,0.172884726,0.257664026,0.071598748,-0.210596762,0.267053453,-0.023593031,0.372252387,0.057481814,0.165123693,0.291757799,0.291087642,-0.085388231,-0.17614198,-0.255715448,0.011470767,0.257314392,0.248429117,0.426230829,0.091412149,-0.194661546,0.417132808,0.370121757,0.326235546,0.214340137
28,-0.32300015,-0.00356903,-0.109945931,0.130760153,0.352572354,0.13164405,0.33728937,0.133323796,-0.208364877,-0.149569239,-0.1549108,-0.305253177,-0.096829183,0.145043421,0.048731927,0.333162025,0.288720867,-0.374919518,0.185671562,-0.279208634,0.130114219,-0.025604929,0.31595652,-0.536076265,-0.141507838,-0.29592615,-0.117108989,0.051083026,-0.170888831,0.134985986,0.151520529,0.286517701,-0.260611499,-0.397517916,-0.284086613,-0.126633762,-0.033653323
29,0.703677813,0.425357314,0.020601073,0.488820646,0.535433827,0.116235179,0.059715402,0.028166629,0.564242265,0.288730821,0.360501655,0.347493646,0.725856903,0.189485167,0.51020069,-0.11876649,0.830824052,0.253463347,0.513492994,0.755768793,-0.0591803,0.288855769,-0.009988762,-0.105404036,0.403780874,-0.085589322,-0.02155112,0.453182528,0.367394806,-0.17622527,-0.158094607,-0.065005449,0.622953903,0.260418707,0.297670621,0.292240211,0.345275779
30,-0.357022255,-0.092163773,-0.497766828,-0.184212461,-0.464724342,0.110093339,-0.014176899,-0.344484563,-0.228423523,0.027249833,0.075952175,-0.021448112,0.962125193,0.020217045,-0.110294682,0.11183718,-0.18801714,-0.381274145,-0.368154532,0.293541775,-0.392471049,-0.440768251,-0.052656756,-0.37003814,-0.303588781,-0.412810817,-0.420624078,-0.2348263,0.215217077,-0.500748028,0.129676917,0.030091454,-0.157025865,-0.257383658,-0.12976794,-0.193339764,-0.153205425
31,0.013098864,0.170119977,0.184611154,-0.566737568,-0.406281687,0.467200737,0.638231753,0.161125887,0.079226845,0.304805083,0.359392023,0.115989981,-0.508538819,0.496324522,0.550702152,0.768964839,-0.411798803,0.065806383,0.491008294,0.183131814,0.492663849,0.250527368,0.702047374,0.445171686,0.185115662,0.006597838,0.123340895,0.314939276,0.515450862,0.44360427,-0.274318358,0.006260787,-0.297206485,-0.188380956,-0.125681601,-0.006105149,0.079654308
32,0.31687672,0.190751074,0.027415515,-0.181748476,0.050390544,-0.220319927,0.252535588,0.256590419,0.447201451,0.16177316,0.231358933,-0.058589227,0.599169698,0.130808978,0.325201566,0.252117921,0.511638918,-0.323973684,0.347901466,0.057469594,0.229979824,-0.189096397,0.253829158,-0.890235066,0.317087601,0.515840737,0.034803719,-0.143362117,0.08246052,0.091187245,-0.436007733,-0.008079174,0.225333015,0.172003816,0.187314573,0.119886672,0.121543287
33,0.361532301,0.084112095,0.149025512,-0.174456206,-0.048961444,-0.031823276,0.077781582,0.288656608,0.245011519,0.005918366,0.380256229,0.289831637,1.510351044,0.494071519,0.339043869,0.590814936,0.121191414,-0.148916371,0.305079292,0.359104721,0.121963971,0.041223258,0.404888061,0.085658874,-0.030094052,0.100506011,0.023228296,0.109128601,0.099198923,0.065274685,0.085112691,0.351032572,0.140612179,0.40877164,0.2503537,0.464655619,0.343556887
34,-0.022632614,0.239667348,0.200302213,-0.572787527,-0.472341645,0.500470092,0.617885317,0.162688753,-0.05343329,0.244230266,0.352550712,0.157805873,-0.591384913,0.544387309,0.501085961,0.730562011,-0.453641762,0.057268087,0.457018026,0.206187903,0.450757881,0.293212061,0.710833441,0.491246399,0.154162884,0.059207468,0.037804532,0.326014035,0.526992721,0.434924035,-0.288991977,-0.000828324,-0.423371961,-0.204061306,-0.141588358,0.076624829,0.062359509
35,0.138123012,0.323100426,0.118801814,0.274113703,0.310152071,0.341019873,0.034285351,0.001479488,-0.33095445,-0.183806144,-0.052874255,-0.23477096,-0.156206307,-0.316258696,-0.512034907,-0.425870565,-0.034206907,0.604633229,-0.298398849,-0.210324391,0.339107703,0.272670406,-0.358139138,-0.251027961,0.423236958,0.365300153,0.15380059,0.226189605,0.153681079,-0.03388896,-0.376478534,-0.642448858,0.439709137,-0.118911098,-0.099146253,-0.093793737,-0.199480099
36,0.122993526,0.248404928,0.361658777,0.100029836,0.238053077,0.449553769,-0.069458052,0.046837493,0.01012377,0.219234981,-0.10891011,0.004220121,0.581306789,0.132658779,-0.469202666,0.041458296,0.051877332,0.276846604,-0.065843227,-0.0300805,0.02996409,0.427808492,-0.248576933,0.051054281,0.151459297,0.651790946,0.547558929,0.254911342,0.004612293,-0.139666825,-0.143312279,-0.27911864,-0.092416673,0.291393835,0.028659346,-0.13513723,0.168832971
37,0.215347113,0.039960531,-0.037535873,-0.202503998,0.028123293,-0.169231139,0.46251613,0.321835085,0.284041479,0.170998498,0.221654644,0.027501505,0.972902242,0.2335335,0.534303481,0.354571783,0.366233944,-0.158929329,0.314174471,0.148317087,0.288743721,-0.108940217,0.346979131,-0.809448768,0.156598749,0.350840961,-0.113045804,-0.187354839,0.130303029,0.198460065,-0.317228974,0.134828182,0.131123782,0.293793918,0.341884694,0.399955876,0.437375818
38,-0.167796281,-0.071017094,-0.832695296,-0.06964091,-0.109575604,0.086981331,0.141953755,-0.618118107,0.090273277,-0.024220413,-0.117478041,-0.567541845,0.835276412,-0.184881471,0.075097843,0.116770302,-3.32E-05,-0.389759292,0.114893957,-0.236431339,-0.031339948,-0.326383944,0.265823223,-0.808326197,-0.030168896,0.115269895,-0.300263278,-0.386110271,-0.274532209,-0.488788082,-0.334259634,-0.189305436,-0.11713043,-0.08042728,-0.271340772,-0.292337727,-0.348532449
39,-0.463795408,-0.336102428,-0.829925406,-0.91535919,-0.49069618,-0.045059719,-0.376752665,-0.548899458,-0.610266075,-0.259135352,-0.530566999,-0.36956121,-0.584306208,-0.484966715,-0.314694639,-0.742981182,-0.365275993,-0.570214527,-0.580939371,-0.427678029,-0.328708346,-1.13093141,-0.860605761,-0.530582511,-0.347311906,-0.580084832,-0.413512859,-1.120477078,-0.438582775,-0.814147187,-0.440975935,-0.377967085,-0.552993548,-0.416041435,-0.388550804,-0.413783646,-0.386479645
40,0.464730862,0.338971607,0.358723026,0.428323069,0.174147198,-0.152486235,0.089825778,0.300163813,0.553466757,0.371355385,0.479305021,0.624798369,-1.135242288,0.265035003,0.562274042,0.049287758,0.631941828,0.250857819,0.284932567,0.578182508,-0.01418904,0.198479019,-0.024433763,0.12013455,0.530967607,-0.154271987,0.024662178,-0.233832142,0.317176852,0.003364893,0.02598871,0.185211081,0.413527847,0.228784274,0.209796753,0.330709178,0.400874271
41,0.840978451,0.496272336,0.852699521,0.145402925,0.091118311,0.190117513,0.501902545,0.808308525,0.060157034,0.366792247,0.022453266,0.406648175,0.502954897,-0.128372756,0.161926156,-0.075893255,0.73795527,0.462349419,0.682839417,0.239602421,0.218834308,0.1302477,0.278462817,-0.031024401,0.362401655,0.100025618,0.17026518,0.275622534,0.397420713,0.406309203,-0.632935167,-0.310381305,0.19135213,0.431270641,0.348117348,0.374349264,0.473321001
42,0.657497576,0.293891081,0.100755593,-0.013896303,0.221353854,-0.340115392,0.476179602,0.218715446,0.540384827,0.142070925,0.208210923,-0.051235351,1.083098281,0.113136948,0.538496285,0.161855445,0.536770935,-0.248442994,0.292556301,0.040462653,0.215854016,-0.23723018,0.211187427,-1.053003919,0.382767984,0.614647277,0.096685746,-0.334782957,0.065195664,0.167798314,-0.475681635,-0.12013956,0.538245304,-0.034748901,0.083710648,0.20521675,0.272958745
43,0.686499766,0.202439492,0.257400192,-0.254761137,0.08737497,0.065175412,0.363601921,0.468189505,0.339353728,-0.061633819,-0.026433964,0.406253019,1.475706053,0.11097826,0.375256638,0.047448839,0.216714691,0.239523422,0.920829889,0.493522656,0.17780782,0.070707832,0.377619508,0.070100756,-0.07430925,0.248668951,-0.082133586,0.345852707,0.070484514,0.267076621,-0.312351426,0.062501754,0.223045167,0.37421785,0.424467672,0.405884921,0.483068475
44,-0.871744676,-0.859004312,-1.064967633,-0.751514357,-0.582738968,-0.31054731,-0.901794536,-1.042450304,-0.798381781,-0.741851359,-0.882447506,-0.834113712,-0.790775809,-0.836529164,-0.799295442,-0.807336157,-0.87980173,-0.047565994,-0.23834123,-0.298708982,-0.778537804,-0.172675517,-0.634679546,-0.077228009,-0.879497088,0.014001736,0.005191612,-0.222637097,-0.910657891,-0.222114522,-0.144726172,0.075532558,-0.524619867,-0.417147919,-0.362052942,-0.413988496,-0.398667746
45,-0.038416783,-0.097644095,0.472680268,-0.444709176,-0.520195111,-0.102350846,-0.101481296,-0.13735311,0.135721837,-0.039250954,0.501194599,0.004282496,0.55419515,0.310601261,-0.419645982,0.077935078,-0.187506237,0.139655202,-0.202068287,0.232953332,-0.372522277,-0.149313525,-0.270272505,0.069097697,0.309601724,0.104828741,0.129706517,-0.009176346,0.097876781,0.042958029,0.208306883,0.036977398,-0.115298208,0.065499738,-0.074082116,-0.100666354,0.045489194
46,0.657584043,0.112633116,0.423289962,-0.293192631,-0.061753108,-0.140882758,0.257111362,0.469448137,0.350460782,0.01598587,0.101039123,0.610886859,-0.158293631,-0.096035077,0.31055603,-0.207291343,0.285393353,0.414246699,0.577550924,0.414022836,-0.040545911,-0.036783837,0.211763243,-0.011999775,0.284231774,0.092340009,-0.121006627,0.145620743,0.162929222,0.268209913,-0.348780069,-0.038939685,0.085920585,0.290438509,0.29025148,0.283760198,0.420913205
47,0.122476025,-0.019737185,0.288159036,0.101120367,0.048360957,-0.080196351,0.160614167,0.27228644,0.368755185,0.347923587,0.578857044,0.489327527,-0.589898356,0.560986409,0.743321003,0.62315394,-0.102068586,0.139453654,0.230264361,0.156839103,0.170446484,0.159770958,0.240537249,0.115674165,0.064103697,0.062461806,8.25E-05,-0.056879599,0.136480397,0.355703035,0.168463738,0.417544186,0.046038679,0.367654432,0.382616754,0.364926651,0.388013468
