"Based on noiseRem,RT,Repeat Rem",Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5
48,-0.200876494,-0.068453524,-0.789656183,-0.329396399,-0.12914619,-0.177783322,0.335144418,-0.6378635,-0.055193469,0.070194972,-0.056720532,-0.510527594,0.789957056,-0.097968441,0.276645321,0.144396925,-0.078112236,-0.507324944,0.089273694,-0.282726903,-0.063302682,-0.384502925,0.08295362,-0.652013223,-0.162680552,-0.017265105,-0.518773884,-0.561295504,-0.189120638,-0.323703397,-0.339916683,-0.069351474,-0.431272079,-0.192471798,-0.265467148,-0.136885949,-0.310193482
50,-0.173578608,-0.073820491,0.010183243,0.104978865,-0.168098911,-0.397906789,0.334087941,0.009968603,0.389794203,0.190972823,0.143208853,0.091590319,-0.085326648,-0.148669215,0.011127088,-0.081722947,0.10129971,0.302266343,-0.16189659,0.22192878,-0.369922208,-0.205689467,-0.011917716,-0.169201915,0.269626212,-0.067741304,0.077232006,-0.556674678,0.312584537,0.080502685,0.039191068,0.09393891,-0.060682881,-0.189888267,-0.001623683,-0.098658481,0.094090472
51,0.086133189,0.052156052,0.080634454,0.271544071,-0.146541246,-0.052459023,0.06372291,0.016572248,-0.070691121,0.160493349,-0.171594702,-0.039525944,0.18334036,-0.463555093,-0.198553803,-0.366410344,-0.043850567,0.217322304,-0.343429114,-0.087764578,-0.170760525,0.088835296,-0.21625111,-0.617986543,0.075737367,0.04527238,-0.203543471,-0.174405466,0.149448628,0.235684786,-0.137676584,-0.135309186,-0.194811944,0.048990861,0.09634631,-0.132992122,-0.161064046
54,0.101879803,0.296585166,0.07955899,0.267036611,0.232045654,0.430114882,-0.221715491,-0.187672612,-0.102375853,-0.155753005,-0.459197416,-0.494165199,-0.183368608,-0.256707062,-0.607292301,-0.186516248,-0.004016992,0.069572422,0.041501814,-0.285208005,0.318974889,0.258789587,-0.127599464,0.044859473,0.059997925,0.288898045,0.394470752,0.218206888,0.087750638,-0.110561494,-0.214991029,-0.13731827,0.105380657,-0.169401809,-0.289542351,-0.406111243,-0.273578215
55,0.456098337,0.075533285,0.450657309,-0.090830355,0.009827502,0.091421718,-0.029874253,0.505436587,0.632719713,0.286559394,0.442348735,0.648835992,0.606346478,0.470688674,0.426698073,0.412863588,0.176383379,0.184436155,0.50093743,0.403147941,0.195767836,0.236603528,0.448774447,0.315256278,0.062492132,0.424574785,0.221241472,0.47690506,0.0052583,0.199772595,0.033832632,0.386037274,0.241484755,0.429886754,0.41191179,0.455448986,0.461705142
56,0.006079831,0.114651912,0.324518887,-0.027023151,-0.064246118,-0.020859895,0.031663977,0.24000796,0.305683696,0.253691604,0.39414428,0.424431785,-0.232700897,0.290994559,0.403855266,0.217407716,-0.01550649,0.212477817,0.334507251,0.274220172,0.177516878,0.125965886,0.381672711,0.609482349,0.095672425,0.17302949,0.100670226,0.449174045,0.147434076,0.212306689,0.070140757,0.379857665,0.057120274,0.30448828,0.31653267,0.278514377,0.26259544
57,0.721306323,0.153813861,0.417809343,-0.139621017,0.154613728,-0.119363561,0.317456766,0.717101384,0.344023619,0.160781531,0.372866199,0.600068039,0.412289237,0.130169485,0.461356576,-0.097093299,0.30999728,0.329367756,0.217274859,0.535358856,0.231996227,0.057056586,0.132745725,-0.158334375,0.357251337,0.171683993,0.096849656,0.137428717,0.348698799,0.316453385,-0.214546783,0.03518081,0.235586597,0.288886211,0.51951329,0.496474659,0.373431877
58,-0.031836789,0.148602434,-0.102281428,0.025378868,-0.238110036,0.016278073,-0.328637119,-0.089843445,0.273725391,-0.114920115,0.187219582,-0.080074733,0.954969613,-0.239077966,-0.399576828,-0.310010171,0.15870001,0.028452255,-0.117920516,0.286726422,0.000815545,-0.036720147,0.00689383,0.054955621,0.283024484,0.167398693,0.148389414,0.603926809,0.287911333,-0.021999339,-0.102067579,-0.249032156,0.131580856,-0.227016995,0.020724388,-0.184306299,0.019755911
59,-0.276785582,-0.076136274,-0.130760478,-0.000627449,0.30184699,-0.094079809,0.050357008,0.002565573,-0.119861733,-0.022381159,-0.070159166,-0.278891182,-0.181328648,-0.044290515,-0.331843059,-0.04999621,0.492700166,-0.350411103,0.050491246,-0.095617188,-0.101873942,-0.091557019,0.17658794,-0.463474021,-0.061650734,-0.102464298,-0.138088673,0.023279105,-0.188006544,-0.098573297,0.227975587,0.027773701,-0.059042484,-0.296118082,-0.365935943,-0.353998587,-0.364375321
60,0.524851156,0.073838905,0.675404454,-0.056861758,0.111529638,-0.180989042,-0.008542894,0.647039271,0.552935239,0.206099358,0.470374648,0.65612723,0.283416658,0.351030035,0.420589294,0.448987339,0.302543545,0.343036343,0.343043012,0.439357234,0.201837782,0.072900715,0.231017834,0.049491269,0.154437649,0.276157794,0.19123701,0.269621749,0.327325893,0.274969361,-0.072663807,0.38033947,0.21288646,0.570826388,0.55922591,0.569299479,0.62570429
61,0.337673079,0.382867164,0.365652134,0.625765283,0.459935098,0.579111307,0.612339918,0.439287021,0.274492744,0.495598928,0.526500802,0.447927988,0.823700007,0.612685571,0.674470841,0.761579989,0.308218835,0.141927368,-0.439546201,-0.058668768,0.661607866,0.00920894,-0.115457312,-0.406801364,0.234054123,-0.294736111,0.222910785,-0.305339071,0.533031823,-0.159360981,-0.330587346,-0.060222543,0.01313472,0.468409447,0.573936262,0.54719216,0.495430566
62,0.094463848,0.133297544,0.291282131,-0.261831855,-0.245296772,-0.265534686,-0.257891198,0.280515015,0.170645338,-0.346972978,0.13826012,0.252355273,0.522538965,-0.356596437,-0.176373546,-0.168824544,0.179477098,0.547593464,-0.350551407,0.239833685,-0.148277225,-0.028869893,0.010292034,0.152309786,0.431548191,-0.114221334,0.035672976,0.670782876,0.255380607,0.090695291,-0.084118542,-0.178712108,-0.149471253,0.051372996,0.066468272,0.092963857,0.0849034
63,-0.97412384,-0.235712553,-0.378028915,0.119164789,0.229854825,0.56386859,-0.356249692,-0.926190231,-0.679124928,0.135076139,-0.055004589,-0.196641854,-0.796529339,0.130249827,-0.308013509,0.144076502,-0.403285993,-0.131492297,0.020456984,-0.218019471,-0.105797725,0.249836668,0.141164454,0.521270846,-0.362633087,-0.671743544,-0.523467305,0.072446352,-0.034413794,-0.236654022,0.52172737,0.15355809,-0.279248934,-0.133165763,0.012130203,0.039334701,0.085366109
64,0.245772585,0.11587396,0.361879601,-0.186529367,-0.048547977,-0.120664548,0.046480572,0.397275621,0.738317492,0.174013579,0.611427163,0.597655634,0.080402875,0.526237241,0.497664551,0.683185102,0.088924771,0.026552389,0.362084344,0.349698177,0.106332851,-0.067203545,0.34737088,0.279415005,-0.003429678,0.170249657,0.078010526,0.138752882,0.011273723,0.066301464,0.158232321,0.459078472,0.172821453,0.259835005,0.401880123,0.323955412,0.404318303
65,0.418031415,0.365184093,0.564320748,-0.108257781,-0.067873558,-0.008920715,0.038074576,0.030279706,0.524281804,0.078508577,0.152339746,0.174074221,-0.495280723,-0.093061077,-0.247459191,-0.094668926,-0.119756767,0.416628238,0.037009454,0.091130616,-0.192950325,0.01316867,-0.346565349,0.110079624,0.337290005,0.157450255,0.360470596,-0.137212212,0.137936581,0.240973681,0.035568126,-0.015601411,0.192837863,-0.009478167,-0.109673951,-0.002731697,-0.164035243
66,0.315946065,0.250377523,0.080222136,0.376427884,0.24820616,0.433188819,-0.09986986,-0.026871398,-0.112556534,0.051298578,-0.495187864,-0.09584438,0.982282172,-0.199712404,-0.631975177,-0.319317201,0.155885101,0.106287481,0.007306415,0.010613368,0.045902304,0.257500015,-0.229777611,-0.224225027,0.048253378,0.294848159,0.314985915,0.459356516,-0.026122357,-0.252218767,-0.194963727,-0.463903987,0.226677907,-0.17723899,-0.220405312,-0.235220765,-0.325610117
67,0.26745914,0.173312271,0.540498361,-0.132487548,-0.063143724,-0.041199221,0.082130747,0.532541976,0.605711007,0.280227095,0.661945024,0.620069705,-0.356556047,0.282305178,0.412358918,0.277303007,0.168136028,0.484738859,0.299514279,0.306783234,0.122322147,0.254462252,0.334872919,0.371859751,0.355798988,0.193481254,0.276540022,0.468259768,0.303325112,0.384373912,-0.14406445,0.188115963,0.19857232,0.409768584,0.408641909,0.438146898,0.477443055
68,-0.315125296,-0.093239844,-0.384930327,-0.068420832,-0.297232325,-0.003716478,-0.000938363,-0.403037912,-0.040394233,0.176265617,0.051404051,-0.076282648,0.556331784,-0.127103461,-0.244875785,0.049981646,-0.174033393,-0.021923643,-0.218124589,-0.033564211,-0.327374557,-0.26838946,-0.148355852,-0.037443013,-0.186754127,-0.271160351,-0.162195101,-0.16601219,0.081150031,-0.449881032,0.171227766,-0.066602194,-0.398826549,-0.228700854,-0.175776064,-0.321408294,-0.340714603
69,0.06274976,-0.148868933,-0.164547151,-0.231141934,-0.265122411,-0.089213495,0.147689115,-0.121339794,0.073201092,0.216459526,0.186039215,0.160243299,0.775099855,-0.016759013,-0.013847425,0.283729906,-0.109695431,0.126465652,-0.0671482,0.026050447,-0.1721211,-0.444587418,-0.060711146,-0.107367599,-0.120148559,-0.203509107,-0.153740811,-0.131041441,0.094187672,-0.37973689,0.051148546,-0.046690511,-0.119023058,-0.243002054,-0.107703554,0.205603126,0.068901675
70,0.337512324,0.138316628,0.594202827,-0.130126602,-0.062884603,-0.070682585,0.104393655,0.524033594,0.590684349,0.152354659,0.67344981,0.62276602,-0.110868438,0.240817699,0.436915567,0.207084455,0.181439329,0.534648464,0.259982535,0.416261872,0.078210263,0.092725115,0.571667122,0.363661188,0.366939158,0.298690672,0.20542955,0.587016974,0.294359187,0.357762127,0.042327335,0.26063278,0.231792147,0.43161492,0.463629849,0.493815624,0.530180731
71,0.145459626,-0.065863856,0.533770996,0.039950318,0.046670116,-0.165598861,-0.137378669,0.388421761,0.071302325,-0.293207113,-0.049479312,0.098339326,0.469499198,-0.01209663,-0.226090844,-0.128148902,0.310631666,0.163860033,-0.074665253,0.124389108,0.166629351,0.10325804,0.022938201,-0.103167171,0.302903939,-0.05390186,0.200152767,0.317043953,-0.152289901,0.180172775,0.006660334,0.105056811,0.18421698,-0.286791045,-0.193254813,-0.03639247,0.043716302
72,0.281945264,0.151968081,-0.010879953,-0.21760417,0.016040105,-0.113114695,0.197749898,0.208317283,0.3921948,0.096497419,0.169194503,-0.100396655,0.56530739,0.248634218,0.339277652,0.23447459,0.44021541,-0.42361355,0.427068605,0.039550651,0.211942208,-0.209686293,0.290117726,-0.806047726,0.168451349,0.507359988,-0.044443668,-0.122908421,-0.026435221,0.028862467,-0.329620058,-0.037102267,0.256185851,0.04837594,0.122888083,0.075066198,0.176960089
73,0.363522096,0.305585264,-0.191120454,-0.023860582,0.118237239,-0.20057245,0.466466975,0.239477282,0.22742852,0.322095171,0.136395702,0.014476626,0.310666388,-0.081032671,0.264291728,0.207114531,0.481135494,-0.024319113,0.291262723,0.155191683,0.047411673,-0.244278313,0.248269094,-0.651923742,0.304012601,0.375781866,0.032772744,-0.004933305,0.319804717,-0.054510379,-0.430046019,-0.121566383,0.265654071,-0.175005495,-0.168685504,-0.071083395,-0.036439324
74,0.319656972,0.071232414,0.599064482,0.061405785,-0.171768867,-0.336217487,-0.087051978,0.544946911,0.365614242,-0.046046198,0.297589703,0.632059275,0.02638399,-0.125325628,-0.100937006,-0.095807185,0.623025857,0.350347459,0.112708254,0.626750159,-0.164173207,0.001641552,0.044680367,0.046930276,0.301774565,-0.077969385,0.005363489,0.386016454,0.110320572,0.320368895,0.017851541,0.204062805,0.278704942,0.215501316,0.326019142,0.259415602,0.388584063
75,0.547060615,0.284307956,0.559967638,0.347313628,0.253094609,0.428524504,0.485669684,0.536025279,0.237472445,0.358775263,0.287338979,0.412826537,1.144266185,0.310014693,0.64930976,0.578148237,0.337212702,0.155922156,0.34245696,-0.136930397,0.659079926,0.010712323,0.370495331,-0.170662958,0.169612666,0.178314794,0.101615446,-0.078845725,0.261844377,0.216101256,-0.351396603,0.08434672,0.242425385,0.485442963,0.536191051,0.578832262,0.530378751
76,0.129851094,0.052206406,0.08799744,0.164750589,0.239479659,0.273192735,0.107092703,0.157221562,0.170486101,0.148814724,0.126656824,0.231531016,-0.757072189,0.333280947,0.092224328,0.286262798,0.088011935,0.194566706,0.287413112,0.185735404,0.19140781,0.240221141,0.306504855,0.257314796,-0.01036611,0.290115401,0.155081992,0.117461626,0.06440378,0.100799468,0.054158523,0.134168803,0.15320078,0.064698115,0.181779823,0.03785478,0.10975342
77,0.59165233,0.086863695,0.399609062,-0.081871321,0.080602623,0.115292227,0.297375181,0.513519847,0.373294421,0.168026883,0.301291416,0.389714809,1.565387453,0.345419379,0.428820263,0.424454228,0.158237516,0.236940217,0.546773671,0.318034074,0.349780325,0.110096842,0.4391215,-0.004038616,0.083497421,0.354043875,0.069841712,0.242938948,0.112380679,0.265853126,-0.233996973,0.175135387,0.290157705,0.450432783,0.532222087,0.50318551,0.59224144
78,-0.982343014,0.079116069,0.298244753,-0.073099436,-0.035345848,0.234904085,-0.153723896,-0.334963708,0.136123594,0.48539,0.73361584,0.282510084,-0.360059958,0.241978367,-0.014670594,0.209343398,-0.160399432,0.417350632,0.210892707,0.399343616,-0.432341587,0.182778958,0.182366022,0.369401565,0.257875759,-0.411727669,-0.236009913,-0.003441199,0.069508272,-0.060846891,0.432779292,0.133035575,-0.056108972,-0.043179312,0.013209014,0.085416858,0.085699434
79,-0.030773877,-0.228198196,0.11316097,-0.64000671,-0.664549035,0.173258718,0.228384721,-0.329587874,-0.225305801,-0.053562218,0.167244559,-0.236605451,-0.045299032,0.055996147,0.037779637,0.29453815,-0.535706306,0.126957133,-0.137997755,-0.046121963,0.070265915,-0.243565516,0.200796097,-0.038368994,-0.11262437,-0.156917435,-0.14929455,0.571125355,0.278377145,0.023442068,-0.401092686,-0.129851881,-0.601215752,-0.400114937,-0.252934051,-0.269745295,-0.295847885
80,0.348725157,0.193087519,0.094299271,0.047291915,0.225148714,0.222592314,0.295544978,0.384333284,0.163867162,0.120471649,0.085494127,0.174186665,1.042814598,0.38540691,0.445633188,0.53193256,0.151750746,-0.030319219,0.456459189,0.129033217,0.493804444,0.174947259,0.283904496,-0.03758538,-0.096715451,0.359228992,0.134659043,0.635332813,0.030827426,0.253303451,-0.066806092,0.195499881,0.15041967,0.378521838,0.378313108,0.348608832,0.344626851
81,0.241317757,0.412217082,0.106520998,0.301310975,-0.001929268,-0.024520917,-0.297049562,0.135408914,0.495658524,-0.03446336,0.435441334,0.219662497,-0.621239392,-0.164049344,-0.191827798,-0.298265861,0.203567828,0.396490875,-0.314332601,0.161541623,-0.121066581,0.0082206,-0.089390877,0.106293527,0.501716794,0.088112547,0.334976222,0.247778489,0.275129357,0.010467969,0.22250935,-0.119364531,0.18767317,-0.220889972,-0.231808327,-0.218827709,-0.203898318
82,0.023646716,-0.029499742,-0.004130624,-0.084743587,0.100953473,-0.222992081,-0.075927863,-0.297362649,0.182154409,0.221062264,0.000703599,0.026991197,0.098047436,-0.090243858,0.150527517,-0.21077483,0.258618953,-0.048699635,0.24020357,0.21200574,0.11105893,0.20847694,0.123090214,-0.346229936,0.275064686,0.363865019,-0.286158816,0.16789033,-0.231880782,0.103699691,0.345801163,-0.102760969,0.126979572,-0.187291046,-0.215932089,-0.197474498,-0.12865889
83,0.501272451,0.129217547,0.496630009,-0.095979873,-0.068603485,-0.095748532,-0.051389496,0.61198092,0.32631785,-0.062282208,0.269397785,0.497349423,-0.252920133,0.060886562,0.102232964,0.054194159,0.378236237,0.416267825,0.32038328,0.565639753,-0.109100931,0.105986869,0.094949638,0.129529101,0.205854246,0.026135973,0.064757909,0.32478476,0.20202295,0.393470865,-0.012639023,0.212401799,0.197307323,0.33784093,0.416459362,0.356788305,0.394664375
84,0.453802548,0.536812588,-0.040043006,0.378276776,0.263032487,0.074738186,0.718970924,0.25247126,0.193139477,0.496101715,0.1791734,0.253428447,0.922587551,0.025902956,0.621956014,0.388957228,0.753576993,0.071522208,0.343809805,-0.22203075,0.441552372,-0.382967894,0.110326404,-0.763510026,0.415657637,0.28010052,-0.033760885,-0.316312286,0.558431681,-0.035502503,-0.695279363,-0.305207125,0.265413053,0.326562121,0.342600395,0.429946602,0.380672201
85,-0.216648173,0.018130885,0.190133095,0.030780601,-0.028622131,-0.041183748,-0.171426518,-0.056187134,0.235913028,-0.249476316,-0.024317246,-0.224436123,-0.967496538,-0.220348784,-0.510395898,-0.557663255,0.424919977,0.143440901,-0.153326991,0.001213387,-0.123280544,0.040786991,-0.207609049,-0.081486422,0.295268609,-0.065553552,0.193649587,0.430815319,-0.015169378,-0.076366485,0.22697116,-0.023022365,0.282426433,-0.135740459,-0.22690824,-0.233016775,-0.387440409
86,-0.321690035,-0.184506484,-0.41229414,-0.314487444,-0.206167729,-0.098564027,-0.167635994,-0.471267221,0.372579389,0.066255767,0.256029601,0.173374778,0.721843468,0.432848872,0.195382108,0.347727093,-0.14039044,-0.300020537,0.17389595,0.777345167,-0.234252493,-0.168565626,0.250313325,0.629973062,-0.180932717,-0.0998778,-0.236848289,0.131441974,-0.073292588,-0.249738076,0.608736727,0.649084184,0.001216532,0.078296153,0.17253662,0.071054019,0.006507446
87,0.544219231,0.189781595,0.692631476,0.306660405,0.14301962,0.045749992,0.262421159,0.536452721,0.318714711,0.406772213,0.47529918,0.556753114,0.440366577,0.236750174,0.423531344,0.449470135,-0.009649977,0.267676565,-0.056321847,0.27240384,0.362749004,0.062654803,0.095630423,-0.038004379,0.286787296,0.013033475,0.227813926,0.094889815,0.333728682,0.167925735,0.011359204,0.111116229,0.200373891,0.421186498,0.456481359,0.410075181,0.42998139
88,-0.05900685,0.152269539,0.123935835,-0.394198536,-0.39582909,0.336414063,0.429882048,-0.025842313,-0.056431238,0.300230268,0.244083944,0.145020674,-0.334737251,0.205719922,0.295445231,0.571762588,-0.307404168,0.186427629,0.382640589,0.127098339,0.360075461,0.154565669,0.477318249,0.350158781,0.070093886,-0.015940666,0.016583768,0.326350995,0.522286405,0.251155739,-0.397911538,-0.240716322,-0.355672272,-0.170125965,-0.144336155,-0.157907363,-0.152957123
89,-0.056301938,-0.067357166,-0.241152951,-0.282998345,-0.374457004,-0.136487881,0.074914033,-0.225566279,0.297560527,-0.14083034,0.306073889,-0.438805962,0.644347862,-0.121375582,-0.127261096,-0.041715138,0.124087452,-0.205632687,-0.149479367,-0.065932464,-0.150902047,-0.255043829,-0.070242294,-0.379834061,0.234071766,0.163511746,-0.112989734,-0.829251882,0.037942813,-0.228958535,-0.248070903,-0.12506012,-0.081513956,-0.207085372,-0.213357366,-0.218891338,-0.236489788
90,0.153382685,0.157631793,0.498344077,0.348235346,0.33547132,-0.100620324,-0.275528862,0.487470737,-0.049594328,-0.167926802,-0.089824165,0.345229637,-1.815934226,-0.15511561,-0.37532418,-0.414213644,0.282689304,0.372362214,-0.117036824,-0.084257152,-0.060429645,0.413070218,-0.240908546,0.151199682,0.221961692,0.081371394,0.460316793,0.397390487,0.071607485,0.317670884,0.034380807,0.042996798,0.484665825,-0.067117382,-0.080192521,-0.03640957,-0.025602806
91,-0.503801458,-0.184671834,-0.310483645,-0.051463113,-0.048330544,-0.014994116,0.026078417,0.253477705,-0.329083275,0.014437179,-0.363216236,-0.176707531,0.159772511,-0.339415473,-0.697220815,-0.064357767,-0.116545116,-0.395901323,-0.85279645,-0.739605237,0.16282698,-1.136379248,-0.474660423,-1.130864602,0.038628536,0.529996973,0.230066449,-1.05517277,0.029687303,-0.206052662,-0.277111078,0.124155379,-0.210316724,-0.117870872,-0.028253311,-0.099257268,-0.0769048
92,0.337667657,0.147696241,0.353963082,0.300087509,0.056943626,0.332804392,-0.129246182,0.089460579,0.247502584,-0.050458776,0.114294186,0.098956775,-1.045233011,0.120732017,-0.099684552,-0.022921478,-0.031746332,0.284002811,0.111958951,0.081255502,0.120942529,0.247443497,0.24770929,0.353735136,0.103822158,0.19176384,0.309138405,0.047406337,0.040134609,0.09259089,0.207764672,-0.152197689,0.133213303,-0.010974946,-0.054961861,-0.064423184,-0.114358165
93,0.43337186,0.065144267,0.427587754,-0.129907645,-0.047329517,-0.041047333,0.023745741,0.445287784,0.58900329,0.346601452,0.538378744,0.644836739,0.54973627,0.532002216,0.565972999,0.469340348,0.040550172,0.182135262,0.547920371,0.498087279,0.176751067,0.109307596,0.500842957,0.32198481,0.00407032,0.269340395,0.037115719,0.288325703,-0.008966627,0.21503911,0.051403251,0.416398704,0.222193487,0.41360325,0.460823407,0.46219634,0.519774137
94,-0.059632464,-0.038806337,0.016828834,0.044136648,0.063977271,0.035187925,-0.030329826,-0.085400907,-0.040373796,0.020067444,-0.023145159,-0.042716123,-0.147282478,0.003407457,-0.140311187,-0.025265427,0.010986791,-0.013591807,0.010731289,-0.047060601,0.07140238,0.003879861,-0.038570652,0.136226934,-0.063967166,-0.040681472,0.033184081,0.0900019,-0.012445304,-0.075639814,0.068112406,-0.024379147,0.197136122,0.212599534,0.21011014,0.156339664,0.147198538
95,0.313232901,0.215974072,-0.200209535,-0.055274652,0.19201725,-0.102870945,0.536833856,0.161942871,0.375645379,0.04894136,0.062358144,-0.190486605,1.04965195,-0.007996958,0.302085498,0.299752787,0.3081641,-0.209165802,0.197835042,-0.048015061,0.157304491,-0.249778185,0.185012436,-0.906856222,0.275051948,0.216748591,-0.010815749,-0.314602107,0.089113678,-0.050572944,-0.559750774,-0.072701451,0.142512807,-0.119271526,-0.010754589,0.083572298,0.140866229
96,0.64143042,0.347267206,0.764664452,0.232304918,0.291675147,0.126434853,0.266500224,0.630709556,0.585680855,0.051894991,0.413246814,0.513297075,-0.083649501,0.172404892,0.31649832,0.226279028,0.3677604,0.447667779,0.255087728,0.313937153,0.396452529,0.354121909,0.354551948,0.357452106,0.354626819,0.507342831,0.417236027,0.541211312,0.331168535,0.430284718,0.15349599,0.254066154,0.319546102,0.426042064,0.458391336,0.434775414,0.502134382
97,0.123046105,0.223960227,0.158356812,0.325082083,0.345390943,0.029047107,-0.280624729,0.086966603,-0.00430796,-0.108235206,-0.191400948,-0.0748924,-0.58447973,-0.162288691,-0.377625093,-0.117694243,0.349719879,0.045647841,0.062852067,-0.043100253,-0.105022882,0.152389678,-0.011830999,0.301559191,0.137525572,-0.155778003,0.328439966,0.335416746,-0.016282432,-0.06607073,0.126197368,0.002668611,0.411154567,0.172426887,0.176492844,0.193260319,0.217548019
