"Based on noiseRem,RT,Repeat Rem",Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5
50,0.219587752,0.061469565,-0.08271379,0.065630178,0.065685282,0.052190665,-0.419978356,0.232131847,-0.190948089,-0.135711447,0.030496133,-0.256346569,-0.319852789,-0.380192991,0.432572278,-0.020808538,-0.202643958,-0.031534407,-0.130469369,0.254994136,0.088699428,0.230046396,0.0644755,-0.062838331,0.108526508,0.147357565,0.061574592,0.273541725,0.340636264,-0.352468139,0.18841456,-0.146687718,0.079211647,-0.09488406,0.074638348,0.107742172,0.05147371
51,0.292949552,0.146107704,0.405818935,0.406548926,0.108523893,0.11705796,0.279443116,0.032160192,-0.272698605,-0.149250621,-0.097836144,-0.236556693,-0.295142613,0.122376551,0.134538464,0.000338503,-0.240144676,-0.202418163,0.106497528,0.458078949,-0.012422002,0.152814809,-0.066365715,0.268108489,-0.160539133,-0.236868647,-0.187743769,0.059754936,-0.167855333,0.169131614,0.065432648,0.096359124,0.254750784,0.25813252,0.270139866,0.05889131,0.082064546
54,0.151097191,0.285284966,0.18626603,0.061774465,-0.240654234,0.311483403,0.300775564,-0.055087835,0.114280958,0.41395519,-0.048746438,-0.016301652,0.098572467,0.050545246,-0.086533799,-0.171548004,0.44944563,0.146755129,0.437446682,-0.046959862,0.133473734,-0.046165976,-0.322746273,0.105839922,0.22844563,0.258849808,-0.073234325,0.230520857,-0.446649217,0.341640676,-0.105442933,0.000206879,0.094795356,-0.138709543,-0.096397524,-0.209121702,-0.054358418
55,-0.248611371,-0.256994656,-0.650439154,-1.263297179,-0.640283104,-0.544719783,-1.056075951,-0.308476166,-0.392239612,-0.20753001,-0.040041813,-0.498753343,0.054278819,-0.666140221,-0.360815372,-0.020902292,0.22479394,-0.645772972,-0.081040001,-0.320370611,-0.138293785,0.001668865,-0.191451035,-0.53643923,-0.097626313,-0.099575093,-0.131020138,-0.387734552,0.089023337,-0.88420304,-0.294617953,-0.217376191,-0.291780696,-0.289821945,-0.262602006,-0.23716977,-0.23469101
56,-0.301105085,-0.423701637,-0.378127174,-0.470227006,-0.299991514,-0.519809344,-0.80900115,-0.236377634,-0.507267705,-0.211588905,-0.147805899,-0.382241127,0.162448715,-0.279417531,0.220075448,0.165978555,-0.226758121,-0.592739195,-0.176622012,-0.146523893,-0.048938453,-0.058591736,0.196813184,-0.383037207,-0.390290241,-0.241641646,-0.120209908,-0.233389761,-0.151223583,-0.786358122,-0.208964991,0.088358308,-0.243012577,0.000330616,-0.04164754,-0.026780992,-0.150458042
57,-0.045171464,0.079171182,-0.030275945,-0.559406922,-0.064287641,-0.527924309,-0.865042912,-0.029722943,-0.678173665,-0.697550997,-0.259636953,-0.665145692,-0.30053881,-0.798186753,-0.356523716,-0.214715523,0.138593493,-0.762047907,0.191179668,-0.099453564,-0.409794717,-0.32620459,-0.382844962,-0.306590573,0.154650264,-0.001364416,-0.542200401,-0.132320945,-0.037341212,-0.555882613,0.022190035,-0.237806259,-0.274036781,-0.172002732,-0.112302533,-0.169554809,-0.258546178
58,0.199228954,0.058579441,-0.233518963,-0.457988085,0.019659162,-0.13010652,-0.448847576,-0.140063848,-0.078859813,0.031555073,0.09443879,-0.162981937,-0.075513711,-0.318866747,-0.288318221,0.038502103,0.088913528,0.209046655,-0.089570627,0.122792083,0.120352425,0.089841233,0.090503149,0.019199952,0.228055649,0.250391477,0.127356152,0.141934888,0.197785261,-0.262143911,0.066546806,0.57389018,-0.047418633,-0.023350224,-0.105966529,-0.095968708,-0.057950689
59,0.264731514,0.182931475,0.056953243,-0.593150237,0.425039595,0.302941103,-0.055755439,0.052773909,0.330543953,0.427795712,0.35440712,0.361351048,-0.115444257,0.214729533,-0.624916041,-0.176609904,-0.063017355,0.969171449,0.142160336,0.184490875,0.705934806,0.659837733,0.082480412,-0.016300051,0.227560177,0.200066792,0.689844807,0.363181085,0.776411216,-0.009590113,0.225484641,-0.091058394,-0.06984073,-0.200275327,-0.345316344,-0.475803647,-0.441261499
60,-0.290881064,-0.098047828,-0.630351953,-0.854098704,-0.543624192,-0.703680612,-1.02264023,-0.154201726,-0.539535538,-0.59451606,-0.060713013,-0.58488033,-0.049741325,-0.739004583,-0.326108446,-0.267297314,0.20186477,-0.968570578,-0.16574229,-0.242402288,-0.287248167,-0.01560945,-0.173215232,-0.274728846,-0.178757789,0.063289572,-0.150883613,-0.200778376,0.040606833,-0.820345736,-0.31331602,-0.416642219,-0.292047944,-0.228646751,-0.211100414,-0.197582251,-0.174461657
61,-0.101149937,-0.236797544,-0.260006768,-1.132863946,-0.2505486,-0.356322284,-0.75053734,-0.180964501,-0.453373229,-0.153911316,-0.132718804,-0.754405641,-0.124350394,-0.437294945,-0.363767555,0.108695268,-0.207912682,-0.775438896,-0.30975684,-0.261267193,-0.499539686,-0.473311797,-0.340686723,-0.080547898,-0.498513705,-0.458780243,-0.148033126,-0.162120389,0.087150467,-0.841359024,-0.014853368,-0.496097583,-0.333660863,-0.164370875,-0.155425453,-0.010757528,0.03004684
62,0.06109995,-0.019200039,-0.369145894,-0.135627747,0.202279355,0.328487953,0.218752786,-0.044845028,-0.243297708,-0.614644213,-0.093813922,-0.075748244,-0.257014527,0.046676052,-0.458914191,-0.49145066,0.323253991,-0.06208949,0.044190755,0.093514776,0.194591156,0.123371056,0.067726825,-0.056841594,0.197340149,0.121858956,-0.071601117,0.017812256,0.341624903,0.121414461,-0.020205516,0.75419432,-0.316651139,-0.139677885,-0.286326606,-0.185499591,-0.331188206
63,-0.539245014,-0.591501826,-0.037046117,0.774398227,0.349772995,0.695860915,0.943500419,-0.074120838,0.40157147,-0.424775614,-0.05740131,0.800204705,0.036100999,0.715820283,0.359453348,0.085411806,-1.019924167,0.616177476,-0.282030282,-0.029717933,0.475177186,0.190692228,0.635571842,0.204470501,-0.979619559,-1.005415858,0.055328201,-0.019516181,-0.231837362,1.082344427,0.181405466,0.613459601,-0.029740715,0.178755095,0.258039663,0.213094743,0.19050678
64,-0.313666585,-0.178416504,-0.681120981,-1.361373024,-0.609928159,-0.668442888,-1.033908965,-0.390420918,-0.187893802,0.101685391,0.318398155,-0.304566391,0.16305514,-0.425727652,-0.319775931,0.33175013,0.23604278,-0.501491225,0.02300796,-0.319506652,-0.133238117,0.12498121,-0.122267442,-0.497118553,-0.18446707,0.011290634,0.049370495,-0.312774195,0.353511792,-0.849945893,-0.328267942,-0.414529891,-0.256081916,-0.151115528,-0.159677222,-0.196278133,-0.185969988
65,0.353072716,0.405939162,-0.055551623,-0.407928486,-0.212378513,-0.23140085,-0.769032388,0.324062568,-0.277918917,0.167098177,0.341311529,-0.168932745,0.005626177,-0.531048779,0.013159909,-0.173938377,0.311525964,-0.622237134,0.268973839,0.175493599,-0.077696175,-0.153082622,-0.057441102,-0.246208124,0.400284891,0.5422748,0.103051108,0.110856019,0.313598856,-0.495591055,-0.117460812,-0.108671935,0.145249014,-0.208971282,-0.289713962,-0.185771835,-0.502634031
66,0.310880541,0.225191166,0.053100146,0.06609103,0.113561189,0.353619926,0.25636799,-0.043539057,0.047329907,0.008707381,-0.063001534,0.119126315,-0.026419566,0.136046277,-0.280323556,-0.332107708,0.354828406,-0.013427634,0.103477908,0.064117368,-0.302779997,-0.311434573,-0.179731615,0.092709077,0.37789648,0.217802552,0.133940946,0.173864724,-0.189871109,0.015077053,0.154524947,0.153119561,-0.089469709,-0.194501637,-0.307145422,-0.335046802,-0.359107599
67,-0.241847205,-0.239512698,-0.421207374,-0.612145338,-0.334819114,-0.711471774,-1.044504421,-0.198314527,-0.499633532,-0.390378233,0.007372106,-0.508409812,0.032925617,-0.629852907,0.02308403,-0.097310423,0.11658932,-0.897271201,0.078243496,-0.173553385,-0.255290722,0.031721636,-0.198125057,-0.522842014,-0.187424248,-0.144219406,-0.433127555,-0.17588494,-0.182084617,-0.702452312,-0.260099911,-0.031238331,-0.28994583,-0.237867772,-0.107258381,-0.243176725,-0.259792402
68,0.06220228,0.201587923,0.050562049,-0.054657916,0.097093368,-0.140994697,-0.036170062,0.153484213,0.174267378,0.14447499,0.166749045,0.16719515,0.277770978,0.216919757,0.067175866,0.241185098,-0.157628784,-0.007633245,-0.005791974,0.187252723,0.395194777,0.245203737,0.346785774,0.207449438,-0.068144938,0.053050321,0.348466665,0.141116081,0.489008386,0.047591146,0.232806446,0.353589382,-0.093474737,0.218631819,0.254087679,0.221160759,0.130474449
69,-0.005928871,0.125837306,-0.110456569,-0.531662395,-0.090640021,-0.54259595,-0.505973301,0.225795784,-0.008659061,-0.000559256,0.299458456,0.185609772,0.104793225,-0.065318954,-0.218236247,0.447363489,-0.087598332,-0.350406584,0.170268559,0.067452954,0.26260812,0.052018034,0.198318156,0.148713813,0.163596026,-0.055755023,0.084378353,0.168064752,0.605002148,-0.334711907,0.06514449,0.291089917,-0.136580588,0.211886608,0.009990024,0.006529169,0.048373094
70,-0.25358648,-0.331215148,-0.426649332,-0.541712624,-0.454559612,-0.514633915,-0.901168194,-0.385374826,-0.56578935,-0.325304944,-0.174561686,-0.637380626,-0.180272722,-0.728750916,-0.059131997,-0.094145918,0.084709815,-0.438326105,-0.128984906,-0.175276078,-0.276792966,-0.244186046,-0.22796396,-0.584119097,-0.133945723,-0.033819499,-0.270897513,-0.305660548,0.057821084,-0.792893194,-0.212963393,-0.086137295,-0.353852746,-0.252566462,-0.218568787,-0.278736341,-0.29258936
71,0.600286065,-0.111041419,-0.324093816,-1.38860605,0.591408463,0.035430246,-0.87140039,0.53244733,0.134578066,-0.343424588,-0.184269329,-0.134236283,-0.299884707,-0.2645381,-0.639947214,0.013963689,0.087627189,-0.000962888,-0.31186544,0.404787748,0.671813196,0.337893736,0.194695741,-0.03188653,0.382570175,-0.129797334,-0.10192067,0.646588518,0.662197591,-0.535242738,0.555066486,0.489166825,-0.042772431,-0.308919824,-0.471021691,-0.344978379,-0.301638593
72,0.202398873,-0.002340004,-0.053533356,-1.441574942,0.057767733,0.049937182,-0.577402755,-0.195478098,-0.264161761,0.208776677,0.120643906,-0.297252473,-0.132010782,-0.476920557,-1.251288512,-0.013426145,0.280517944,0.283608243,0.197270259,-0.004740935,0.295265297,0.230671213,-0.095401789,-0.190156364,0.289623041,0.135514629,0.143863989,-0.009859436,0.327084136,-0.452923963,0.161005632,-0.038016584,-0.081016269,-0.060932702,-0.137961287,-0.227422645,-0.248832038
73,0.185077029,0.457353978,-0.081218665,-0.92863943,0.12959971,0.120360726,-0.802790001,0.205114638,-0.070207929,0.194157147,0.280878411,-0.244227931,-0.167576553,-0.717929776,-0.910671407,0.080695243,0.363926234,0.257562005,0.454900997,0.163536004,0.051173234,0.048619584,-0.207731232,-0.106391523,0.52925459,0.407558903,-0.018091024,0.233125724,0.303690867,-0.586432905,0.144396538,-0.15059216,-0.052965489,-0.308264466,-0.447576515,-0.37687732,-0.398920335
74,0.273935663,0.190260556,-0.098393898,-0.606651807,-0.122207827,-0.775442345,-0.965046324,0.013118945,-0.178575717,-0.397265034,0.111926673,-0.269462028,-0.17458944,-0.718067221,-0.225133014,-0.182593363,0.424435214,-0.437044552,0.011230552,0.063085411,-0.001180311,0.025765002,-0.315522391,-0.446474019,0.292054209,0.23886903,-0.261644146,0.116286702,0.220086955,-0.731067724,-0.043880036,-0.282558623,-0.125770529,-0.132336601,-0.253352962,-0.299198396,-0.320017385
75,-0.06195387,-0.440755785,-0.331602388,-0.732698938,-0.261507222,-0.310041568,-0.362812512,-0.215655021,-0.557991448,-0.389049394,-0.474301023,-0.657183491,-0.019416038,-0.564932408,-0.854226292,-0.075770051,-0.113175165,-0.887952576,-0.263371449,-0.349906261,-0.52712193,-0.390580782,-0.452691043,-0.100199145,-0.493145277,-0.510500392,-0.374780916,-0.167136402,-0.221363203,-0.62968198,-0.223591288,-0.502545779,-0.203216636,-0.166467284,-0.17511757,-0.128851831,-0.058091356
76,-0.132043399,0.037830778,-0.226554151,-0.51371843,-0.280466794,-0.299096943,-0.44053437,0.018119,-0.235838083,-0.049242422,0.063055363,-0.336651606,-0.187161408,-0.374629617,0.032019094,-0.258964054,0.092120172,-0.409154419,0.049616417,0.01558485,-0.182708443,-0.018524556,-0.157258439,-0.081623464,-0.033106454,0.131280585,-0.156489757,-0.047472341,-0.14488246,-0.046389808,-0.058840366,-0.122971415,-0.187553832,-0.163267014,-0.192626002,-0.071856909,-0.03663465
77,-0.15470666,-0.086429013,-0.541444568,-1.162103758,-0.460371348,-0.364994239,-0.816672698,-0.234629609,-0.54915091,-0.471367258,-0.291720629,-0.67540017,-0.162453243,-0.775432263,-0.731402088,-0.224319147,0.13256715,-0.752531386,0.001511925,-0.280001893,-0.40415974,-0.206721762,-0.137012318,-0.30124967,-0.074690444,-0.158955558,-0.359957063,-0.261955728,0.069569689,-0.729938512,-0.006131548,-0.286364661,-0.262323468,-0.204486485,-0.17986376,-0.22949815,-0.235815158
78,-0.407911968,-0.268476946,-0.268731828,-0.215644911,0.136748446,-0.48795849,-0.244687355,-0.173111576,0.202467446,-0.351136661,0.497816659,0.575126233,-0.07685752,0.11371818,0.332934495,-0.375226855,-0.627906475,0.393735941,-0.000991295,0.374605296,0.090248417,0.189197154,0.35217898,-0.419202586,-0.55037431,-0.745536628,0.37900588,0.077898254,0.412051122,0.174089095,-0.090421476,0.250473836,0.029368009,-0.084681539,-0.159992756,-0.339937816,-0.49261203
79,-0.228797078,0.11319514,0.130712209,1.405197831,-0.195538615,0.058095232,0.736708605,0.108846869,-0.195557657,0.470467017,-0.185441536,0.032947146,0.427357183,0.263087906,0.291966421,-0.015538696,0.108066186,0.068537675,-0.097011907,0.244547816,0.037928832,0.150431373,0.430147245,0.110632308,-0.141672398,0.055856945,0.027795304,-0.234787175,-0.147029364,0.276336618,-0.166150266,0.071894989,-0.006874659,0.132056212,0.174639555,0.121997444,0.020732818
80,-0.252193039,-0.14492773,-0.494495895,-0.947115094,-0.401284256,-0.034326701,-0.514171348,-0.190901023,-0.384903909,-0.241044574,-0.345470464,-0.629254588,-0.041794025,-0.615992003,-0.58843348,-0.122459934,0.048719895,-0.663763857,-0.011749005,-0.35366587,-0.390805521,-0.231473052,-0.251008425,-0.139159881,-0.218350545,-0.222762212,-0.407637765,-0.250081926,-0.039821177,-0.612345807,-0.075513262,0.244195862,-0.234293803,-0.132349459,-0.108133313,-0.141993295,-0.10779204
81,0.233131817,0.164149535,-0.128267784,-0.376179671,-0.114932258,-0.590049409,-0.428197092,0.085682824,-0.103430818,-0.075600604,0.131092097,0.143773545,-0.01839749,-0.301331951,0.32025789,-0.055144252,0.522167146,-0.116523824,0.128634994,0.091330532,-0.07863359,0.336603692,-0.230195284,-0.031851177,0.34305158,0.450778032,-0.106744507,0.097274148,-0.320269706,-0.370349577,-0.102746544,0.026924356,-0.024642435,-0.208165203,-0.175413022,-0.405675694,-0.074646703
82,0.045403441,-0.022088276,-0.066798463,-1.008563115,0.731458199,0.609306959,-0.386310911,-0.10222829,0.265491954,-0.181213024,0.345469657,0.372326561,-0.154282146,-0.016556717,-0.936312026,-0.478132494,0.098815766,0.615543757,0.141033142,0.154873268,0.54097445,0.616038036,0.301114928,-0.187964226,0.061263458,-0.181929369,0.436801178,0.112620692,0.652764079,-0.178529444,0.120331296,0.579897229,-0.199911197,-0.29658192,-0.493870563,-0.564781033,-0.632788297
83,-0.051340082,0.073006707,-0.170767337,-0.497147843,-0.177790351,-0.834448079,-0.788045294,0.005642451,-0.406932146,-0.511241332,-0.025701336,-0.422043087,-0.106912261,-0.744191065,-0.208051936,-0.072379042,0.36221083,-0.604305592,0.013795344,-0.001375948,-0.148376307,0.131852681,-0.360229599,-0.410684019,0.076999109,0.106536114,-0.340259063,-0.078484853,0.07405006,-0.612386858,-0.0790483,-0.248466491,-0.165763258,-0.117046942,-0.08693504,-0.173468657,-0.173704111
84,-0.107975998,-0.03740643,-0.273094606,-0.905750639,0.007317989,-0.085310588,-0.558350753,-0.10249951,-0.296667141,-0.309937029,-0.309488961,-0.673051619,-0.318308314,-0.611571763,-1.220430496,0.090015418,0.089977153,-0.196133043,0.18268859,-0.040463496,-0.195967652,-0.178717125,-0.144237102,-0.072220638,-0.054463345,-0.116146624,-0.300067295,-0.017489045,-0.184898406,-0.52202067,0.025050085,-0.369970484,-0.181569287,-0.105895844,-0.118234399,-0.081859813,-0.095660331
85,0.146298784,-0.007787196,0.084900544,0.146538531,-0.024556503,-0.108346543,-0.157518802,-0.118543908,0.246655936,0.234513253,0.347772413,0.154384521,-0.104597619,-0.00323183,0.173135219,-0.236943662,0.290778251,0.669530734,0.072673745,0.217393284,0.30123017,0.251245365,-0.291072722,-0.005668891,0.354956402,0.321124167,0.347441806,-0.014640998,0.027011119,-0.180920769,-0.136936825,0.098914063,0.119020557,-0.03126178,0.116599924,-0.039617051,-0.18189092
86,-0.425461294,-0.27336438,-0.516702382,-0.719054809,-0.451008002,-0.488660454,-0.558911125,-0.290770066,0.183501422,0.282206573,0.475763423,0.085841216,0.067366847,0.317659549,-0.016544525,0.21759935,-0.252304293,0.181463249,-0.331320031,-0.250777209,0.154921121,0.055500789,0.558593494,-0.240419176,-0.311888815,-0.161827173,0.431834283,-0.251939831,0.728349556,-0.433131688,-0.082749858,-0.045397811,-0.076481453,0.002580183,-0.083904459,-0.0359297,-0.060111593
87,0.012634555,-0.083110923,-0.184045322,-0.626795101,-0.418197299,-0.426490508,-0.890239598,-0.033786153,-0.602806782,-0.390568885,-0.200045636,-0.716024249,-0.113076507,-0.704853526,-0.190865026,0.049964253,-0.079730573,-1.235386367,-0.131756604,-0.040549367,-0.584046796,-0.36405855,-0.370162357,-0.379864998,-0.255104914,-0.335211833,-0.323845377,-0.061453919,0.019212586,-0.525984455,-0.043279479,-0.219938936,-0.174344895,-0.082765169,-0.131112486,-0.167194959,-0.142220044
88,-0.478264012,0.588482414,0.297227763,0.94286941,-0.386895753,-0.248574011,0.268214731,0.299522255,-0.147429185,0.322791557,-0.230452236,-0.263321259,0.658275371,-0.138480215,0.289457834,0.113994645,-0.013303501,-0.391573067,0.18314558,0.174483156,-0.489152612,-0.394041068,-0.244025733,-0.225940975,-0.082361883,0.193747807,-0.512622927,-0.124781883,-0.696830683,-0.134370283,-0.631820218,-0.169497177,0.074599491,0.095796745,-0.035675151,-0.152060699,-0.17315503
89,0.28753657,-0.022657604,0.085889387,-0.127627112,0.218120908,0.241222077,0.044719112,0.058942836,0.019070409,0.315067779,0.252710441,0.075558058,-0.252763061,0.038131391,-0.121370996,-0.007675442,-0.024805903,0.807702298,0.130791766,0.214922282,0.182908307,0.026214239,-0.006927528,-0.070807904,0.419855395,0.334284022,0.4485717,0.128815527,0.601614948,-0.047957159,0.266058698,-0.18417952,0.144058572,0.145814305,0.016281104,0.076198367,0.036955058
90,0.218822798,0.175719328,-0.048638705,-0.033302535,-0.133012858,-0.278776211,-0.241686758,0.018037139,0.060933138,-0.053912056,0.222875175,0.088606919,0.086999272,-0.23486101,0.195318147,-0.242894864,0.550160163,-0.097384393,0.093667297,0.122363648,0.107879597,0.234972353,-0.302145857,-0.221217563,0.253784294,0.283273632,-0.076245795,0.049602021,-0.221925902,-0.103287852,-0.143184158,-0.142003972,-0.025760067,-0.25068163,-0.317744419,-0.312817448,-0.313774423
91,0.526676881,0.171288877,-0.093051934,-0.199694994,0.424781488,0.226664612,0.093933923,-0.2009507,0.105601818,0.160635106,0.090309513,-0.411640861,0.022812867,-0.065206351,-0.257048017,0.194719077,0.689297532,0.080268613,0.63562129,0.728134645,-0.043461387,-0.240652262,0.136896016,0.298720453,0.205317419,0.714996914,-0.029884456,0.454855435,1.189770632,-0.39470516,0.251542241,0.463944451,0.368632889,0.38650172,0.341505919,0.383636543,0.342912094
92,0.148691946,-0.073256442,0.049082438,-0.183134814,-0.146509379,-0.080630752,-0.380611924,-0.04225695,-0.171423056,-0.011925357,-0.018760042,-0.093458013,-0.083230869,-0.420937908,0.165490029,-0.010848257,0.086130903,-0.158894591,0.010795405,-0.021669759,-0.096633092,-0.147744132,-0.140448211,-0.15867569,0.137256771,0.213061289,-0.083100684,0.028635327,-0.255501944,-0.19163327,-0.128169275,-0.078348494,-0.035081949,-0.097832911,-0.102356683,-0.192164563,-0.078334957
93,-0.350661768,-0.335718256,-0.572659285,-1.104460666,-0.536939687,-0.625718939,-1.028492142,-0.283555685,-0.388138461,-0.273512804,0.02919654,-0.468263322,0.057576574,-0.586767222,-0.303534755,0.189676904,0.055890861,-0.708073347,-0.178555743,-0.266039146,-0.137059763,0.022938745,-0.036148061,-0.521957513,-0.22014123,-0.204285852,-0.167568124,-0.361649225,0.11373483,-0.866423904,-0.292133864,-0.315161747,-0.293922159,-0.210467636,-0.192800807,-0.223265301,-0.211026167
94,-0.049430393,0.024045632,0.131213031,0.327187882,0.097167415,0.115824867,0.3386477,-0.006886869,0.171194033,0.170771791,0.055652071,0.186684108,0.202540481,0.264967911,0.25927485,0.114712482,-0.064075829,0.152592088,-0.050454602,0.050867023,-3.116186132,-3.223407992,0.176624439,0.149429483,-0.014425083,-0.017346577,0.16957888,0.058026698,-0.051070347,0.284894462,-0.021876669,-0.030118862,0.273116323,0.312451849,0.294901396,0.292905102,0.249084685
95,0.152519459,0.17443865,-0.204147026,-1.274112129,0.288260965,0.626303994,-0.522465831,0.120201276,-0.256974047,0.051627003,-0.090511814,-0.32043304,-0.416665407,-0.610660916,-1.149309133,0.023343969,0.205797564,0.598338225,0.177962253,0.030008099,-0.02465973,-0.042681961,-0.123613293,0.049227568,0.482047253,0.214814797,0.028752431,0.171234646,0.551488183,-0.393662612,0.476577366,0.063436487,-0.085234181,-0.241367688,-0.263655126,-0.165473743,-0.071123976
96,-0.178956902,-0.167576504,-0.640268004,-1.139956449,-0.545416841,-0.526513266,-1.220445834,-0.359659082,-0.729448808,-0.34998093,-0.156239806,-0.738140444,-0.169857323,-0.939020995,-0.319710803,-0.220342092,0.387448483,-0.937400675,0.13846174,-0.178525002,-0.412286834,-0.140036796,-0.424020093,-0.496734173,-0.008217438,0.207426489,-0.32942265,-0.232722441,0.025816392,-0.977876831,-0.279823438,-0.301966764,-0.351895439,-0.290815031,-0.251585252,-0.332672666,-0.345531733
97,-0.058985737,0.060241477,0.090726594,0.266666629,0.072303836,-0.194595609,0.252482273,-0.063860802,0.268753935,0.231916138,0.200457797,0.28341471,0.088276132,0.229993052,0.216230366,-0.046676086,0.054078549,0.232211332,-0.098248003,0.051489958,-2.807126536,-3.024339011,-0.082424624,-0.042933862,0.04428104,0.085239195,0.116230573,0.164804926,-0.168568486,0.056930085,-0.10876032,-0.259992585,0.263270781,0.24347433,0.153456607,0.118301041,0.084551595
