"Based on noiseRem,RT,Repeat Rem",Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5
98,-0.520092028,-0.178372283,0.13781052,0.931559987,-0.335487025,-0.284933075,0.6095995,-0.094888322,0.158321023,-0.210713262,0.13266377,0.122175173,0.234389238,0.641394197,0.733491073,0.18953418,-0.530078263,-0.15479442,-0.619957077,-0.451398857,0.152015285,0.012800609,0.059949508,-0.0904859,-0.452086244,-0.517489356,0.0884518,-0.631239082,-0.764948871,0.489466927,-0.379347736,-0.67601374,-0.212252313,0.116908988,0.183639041,0.206947487,0.188891084
99,0.416352371,-0.01620108,-0.146290812,-0.225347244,-0.3254154,-0.234723848,-0.398520542,-0.033440187,-0.234020421,0.072134567,0.199638608,-0.124086255,-0.162629887,-0.332196343,0.158354712,-0.401145779,0.1942,-0.19893594,-0.002463188,0.022990661,-0.422222392,-0.21241502,-0.496019442,-0.244109075,0.328351729,0.28446656,-0.026852056,-0.204303679,-0.144744518,-0.422769023,-0.119567585,0.050573208,-0.070864792,-0.283242659,-0.382278097,-0.364694036,-0.333463364
100,-0.400382821,-0.149468,-0.068119373,0.310278096,-0.402640692,-0.495408974,-0.004701237,-0.09279774,-0.01948253,-0.216384291,0.177715689,-0.035374896,0.062988872,0.152357536,0.442097503,0.059379575,-0.227440742,-0.237015871,-0.405336072,-0.382114115,0.061817643,-0.001817361,-0.113785507,-0.271172479,-0.202447838,-0.300913652,-0.005828558,-0.534424825,-0.540944293,0.038334839,-0.364562291,-0.672510128,-0.114823632,-0.083325159,-0.034083193,-0.021877453,-0.028643483
101,-0.459103356,0.446253497,0.299961361,0.379991723,-0.339752692,-0.192353858,0.053920517,0.445102208,-0.044496857,0.447245513,-0.019083017,-0.325078795,0.499596383,-0.099292167,0.116491783,0.200534006,-0.089333287,-0.277347582,0.06094654,0.295548654,-0.333118078,-0.352421106,-0.161408579,-0.194394756,-0.033575679,0.157747528,-0.432343635,-0.188790602,-0.59714289,-0.153113511,-0.512949564,-0.397456191,0.031707656,-0.045110542,-0.180131784,-0.119518691,-0.139913364
102,-0.413064413,-0.378261788,-0.207729868,0.240556114,-0.163638258,-0.949007383,-0.227927811,-0.611408568,0.083932243,-0.28664831,-0.250172789,-0.302243033,-0.290585142,-0.065886417,-0.253000541,-0.50317533,-0.585093801,-0.119557218,-0.334978987,0.14754632,0.260443809,-0.029404036,-0.148657402,-0.485489845,-0.453754221,-0.278966652,-0.018333992,-0.21697753,-0.81210712,-0.582916309,-0.938465734,-0.886788309,0.003554654,0.079733996,0.061735045,-0.188785287,-0.475796351
103,0.285820735,0.190188224,-0.26814964,-1.451186494,0.266014665,0.251023134,-0.944203355,0.07465336,-0.284552081,0.074839161,0.148876191,-0.339263176,-0.583334216,-0.781058849,-1.216072718,-0.111163349,0.469649879,0.433524992,0.376252163,0.088465145,0.069349652,0.146035335,-0.313783649,-0.257961319,0.612083998,0.384841098,-0.021353952,0.148645303,0.506727038,-0.581542548,0.222298983,-0.463091195,-0.046684707,-0.373514252,-0.498882961,-0.413806063,-0.353524234
104,-0.087468437,-0.005337008,-0.102987311,-0.06509386,0.080435813,0.463117977,0.200680505,-0.035714834,-0.10453782,-0.170188524,-0.377892226,-0.363324576,-0.031436449,-0.335160983,-0.30754726,0.055541305,-0.285269223,-0.10465951,-0.075036364,0.05477868,0.073180494,-0.193724996,-0.082704167,0.212802119,-0.046133456,-0.227998294,-0.249911874,0.007555097,0.270969993,0.019257135,0.298438397,0.59028423,0.023871194,-0.017763915,0.200285711,0.316872867,0.290254796
105,0.163937673,0.106986482,-0.361607521,-1.206390945,0.115700921,0.261716713,-0.885359738,-0.012552991,-0.245621782,-0.098943295,-0.044568048,-0.301880576,-0.245254494,-0.699064781,-0.96305177,-0.026582571,0.258837594,0.204976944,0.155687158,-0.025232901,-0.095735301,0.038593881,-0.227523215,-0.048906353,0.393809916,0.079086006,-0.097236926,0.032467597,0.47960659,-0.627363714,0.286739131,-0.171129414,-0.07795482,-0.210762346,-0.254645213,-0.214692582,-0.160878344
106,-0.159082024,-0.040530719,-0.102334638,-1.046096507,-0.048644858,-0.47573352,-0.746081438,0.050165299,-0.172049375,-0.049604984,0.217379776,-0.327183796,-0.050822915,-0.474503785,-0.068812985,0.202217054,-0.232241846,-0.442463044,-0.141903127,0.079260693,-0.094684175,0.044999714,-0.089727376,-0.274597059,-0.207399586,-0.195728326,-0.230181786,-0.113389823,-0.005404092,-0.417572864,0.123724825,0.07799735,-0.093418825,0.010643812,0.063328932,0.054542403,0.0839026
107,-0.261142032,0.006653271,-0.259138322,0.079274215,-0.457792114,-0.18845641,0.027243418,0.223352935,-0.083387703,-0.032715207,0.256478541,-0.172438673,0.09711955,-0.025682422,0.336602446,-0.209128289,0.209347498,-0.192494088,0.205297131,0.017246664,0.01940531,-0.11518081,-0.202605894,-0.056514617,0.009495347,-0.138583122,-0.096743636,-0.238085538,-0.230866247,0.301346764,-0.020400896,-0.06467928,-0.156889173,-0.155491449,-0.165540405,0.043311994,-0.335720095
108,0.3039659,0.26793966,-0.187781367,-1.25248433,0.268956909,0.471187609,-0.434850381,0.176439289,-0.04514231,0.293326267,0.136375349,-0.030166545,-0.298688393,-0.401778158,-0.921543986,-0.057998318,0.395796631,0.713445817,0.199251718,0.06495894,0.068484914,0.071322994,-0.144333848,0.054096177,0.593194906,0.285047733,0.199113515,0.258896337,0.618346575,-0.381293238,0.365100299,0.080876076,-0.103019399,-0.323502921,-0.475142785,-0.440012293,-0.365142605
109,-0.266707544,0.012875894,0.224052482,1.451265581,0.052736539,0.211414893,0.895556122,0.027298098,-0.167005895,0.250514557,-0.308083157,0.179676731,0.229404596,0.443655618,0.410491011,-0.148884602,-0.30908061,0.128909383,-0.251376935,0.231465263,0.208383818,0.068976596,0.355652462,0.136829446,-0.223698267,-0.215392965,0.01940495,-0.209547212,-0.118295671,0.561927576,-0.061191009,0.288712241,-0.06206002,0.156198378,0.185676014,0.145728227,0.070032192
110,-0.050755185,0.054123171,0.086842302,0.591559859,0.090637235,0.390032096,0.509516854,0.046795247,0.51911227,0.416215676,0.428633247,0.310250507,0.045379845,0.45744261,0.354369226,-0.004895328,0.057101797,0.04036164,0.144085001,0.032274641,0.234749847,0.292074509,0.171286692,0.318931667,-0.044696903,0.059835001,0.046902679,0.039827305,-0.057523721,0.3044778,0.174028001,0.229030693,0.161419063,0.297849288,0.248055466,0.388660525,0.358855026
111,0.030468527,0.25877475,-0.097502526,-0.59163211,-0.163311762,-0.23841557,-0.035068823,0.153187025,0.178752144,0.195135381,0.138817625,0.284041014,0.156526827,0.027757274,0.051391649,0.127750838,0.330940159,-0.012705929,0.299840331,0.038467136,-0.121684407,0.111250282,-0.033498077,0.255948804,0.285513066,0.325946949,0.161434994,0.053893649,-0.073496682,0.101103701,0.10737371,0.155830652,0.095683666,-0.163698053,-0.203917703,-0.027854768,0.101605241
112,-0.031152769,-0.044136599,-0.263964597,-0.239008814,-0.262157726,0.234863907,-0.338289537,-0.120888413,-0.208925923,-0.274526426,-0.215235313,-0.324694277,-0.092777873,-0.399689216,-0.11264288,-0.129955581,0.163651836,-0.432138624,0.033784685,-0.034858688,-0.094094741,-0.015651092,-0.370892386,0.05296952,0.054094629,0.071807874,-0.430581212,0.030379705,-0.176875733,-0.234255256,-0.072788082,-0.031303178,-0.137733607,-0.143044744,-0.108419124,-0.049933847,-0.034171537
113,-0.498588264,-0.41351152,-0.381521453,-0.084287789,-0.384171987,-0.494584154,-0.093411705,-0.422587532,-0.27678355,-0.337967053,-0.39960635,-0.43431285,-0.264541139,-0.100733377,-0.238639947,-0.315109043,-0.510518462,-0.19550967,-0.417350029,0.070458965,-2.365547107,-3.219638326,-0.316900513,-0.174517159,-0.429963885,-0.412420631,-0.196017153,-0.344765004,-0.489458626,-0.12760415,-0.375285777,-0.416131187,-0.283052006,-0.165811879,-0.150544062,-0.153945749,-0.127502142
114,-0.165002979,-0.102893062,-0.195714061,-0.634573599,-0.261367875,-0.556285378,-0.446409739,-0.133011286,-0.411728041,-0.54839366,-0.047859242,-0.438240456,-0.118187243,-0.500334638,-0.249688367,-0.347989687,0.077289556,-0.721250166,-0.175691414,0.021819784,-0.224052985,-0.292431711,-0.383953868,-0.454648455,-0.172554277,-0.02976756,-0.260710407,-0.30561193,0.011630692,-0.383287387,-0.142798154,-0.384464951,0.213182464,0.222030244,0.311228967,0.270033075,0.219200761
115,0.046577382,-0.013990473,-0.086655633,-0.514570801,0.176384147,0.354070484,-0.374107511,-0.036338927,-0.390303984,-0.145633459,-0.192470031,-0.477608398,-0.402028354,-0.507281074,-0.890334826,-0.080853179,-0.051890178,0.207875627,0.081957164,0.030133074,-0.017225584,-0.11105288,-0.146675493,-0.23790765,0.148432752,-0.068930931,-0.088275102,-0.002154216,0.249339054,-0.415078502,0.242360876,0.071808098,-0.085414175,-0.016425994,-0.017548446,-0.021862088,-0.102922031
116,0.422518502,0.173495402,0.207871219,-0.513219102,0.600692272,0.465162293,0.078987181,0.297906042,0.236760699,0.268782037,0.176417779,0.048071435,-0.282717287,0.016162795,-0.741066313,-0.039143762,0.096263979,0.935745306,0.111791235,0.221002243,0.293429702,0.114500655,-0.022144669,0.243537087,0.443498991,0.33754891,0.342212103,0.344771625,0.337045416,0.150259686,0.398725247,0.324686178,0.133039902,0.016320708,-0.09441282,-0.129864837,-0.120203779
117,0.424565947,0.245250589,0.028131008,-1.153751909,0.525527489,0.492943889,-0.317578113,0.39836648,-0.103926574,0.190926619,-0.015572858,-0.098569668,-0.357096923,-0.386249825,-1.063236545,-0.168054,0.116007358,0.659153541,0.228408103,0.314920541,0.397147547,0.214689141,0.043829906,0.250178719,0.446285217,0.322125921,0.298983743,0.352091523,0.588916504,0.032070898,0.675589067,0.14591203,-0.022479529,-0.183905653,-0.306205441,-0.198724477,-0.222620584
118,-0.350640649,-0.366776702,-0.113989468,-0.51485408,-0.647708123,-0.366535776,0.000271186,-0.223106483,-0.498656625,-0.559043834,-0.366359135,-0.466014152,0.074145546,-0.164861445,-0.291560747,0.072485441,-0.140605306,-1.207851803,-0.357126027,-0.53173859,-0.56026907,-0.410442885,-0.31317341,-0.152653395,-0.487873489,-0.622407419,-0.423241805,-0.55224037,-0.387454485,-0.374845875,-0.189141026,-0.511474404,-0.328904025,-0.087305335,-0.118587238,0.048872799,0.037842216
119,0.279682728,0.233091285,0.073148172,-0.682516207,-0.361190191,-0.339927418,-0.929357201,0.014347468,-0.598736396,-0.310332214,-0.166673904,-0.707839047,-0.288672234,-0.975975829,-0.244785925,-0.119443479,0.349318695,-1.004945804,0.04102194,0.084375377,-0.643056737,-0.52516721,-0.493984822,-0.338240255,0.093999966,0.036490283,-0.297289758,0.002687711,-0.19866236,-0.49192811,-0.110762584,-0.274496621,-0.107950487,-0.164075712,-0.227201755,-0.272452917,-0.21203757
120,0.161420318,0.175843358,0.160582446,0.401089854,0.029871894,-0.045047009,0.345910262,0.102963431,0.26114694,0.356689172,0.319792187,0.324969678,0.281710341,0.472687746,0.331824781,0.022076195,-0.071337788,0.261876654,-0.261889872,0.051650266,-4.087984972,-4.920408358,0.053326226,0.214401818,0.022779943,-0.011994408,0.288786043,0.020275376,-0.022715959,0.347243033,0.066932417,-0.199663504,0.331914561,0.298614551,0.265020066,0.234643273,0.221864482
121,0.262679288,0.160822723,-0.168667129,0.000606659,-0.194913795,-0.288397526,-0.344177703,0.093672301,-0.202273655,0.022244614,0.268917721,0.085829822,-0.125667645,-0.332103015,0.523624086,-0.335271543,0.223607788,-0.200069854,-0.061584627,0.039043958,-0.203626467,-0.069105089,-0.259241467,-0.078708404,0.311227998,0.320942921,0.058572757,-0.001873148,-0.089155408,-0.250107144,-0.06810794,0.088964117,-0.267720629,-0.30285175,-0.380003324,-0.348726834,-0.323099971
122,0.284902514,0.059903416,-0.009644762,-0.405072117,0.242807982,0.049529596,-0.245712993,0.18121611,0.626753354,0.400186444,0.357288732,-0.209921715,0.127564718,0.052539707,-0.192827071,0.106181961,0.02294817,0.027542899,-0.180396957,0.085285634,0.322642091,-0.136346095,0.340771779,0.150426897,-0.105125453,0.258937857,-0.143295122,0.497616426,0.313915349,0.107374064,-0.125630197,-0.029461633,0.269150507,0.126148278,0.120405004,-0.03808502,-0.514567932
123,0.067359201,0.125199766,0.179461238,0.342586182,0.140177368,0.068499281,0.343220288,0.091772339,0.191514732,0.142943912,0.138213534,0.199221741,0.153793071,0.292528547,0.203608143,0.101325759,0.027458162,0.186787225,-0.00539652,0.082523336,-3.345438684,-3.717359596,0.15504129,0.10199189,-0.016569102,-0.006312494,0.134380825,0.084647924,-0.012398306,0.253346571,0.060115705,0.060811365,0.29491787,0.262108028,0.255251675,0.217080099,0.244523629
124,0.235007893,0.150909862,-0.255239433,-1.099945835,0.247188906,0.303615402,-0.921936741,0.00939632,-0.300611441,-0.047328599,-0.032748545,-0.431856878,-0.492727828,-0.789902416,-1.075168429,-0.04147429,0.301105367,0.277975295,0.185925358,0.098377892,-0.031952443,-0.074156066,-0.320281412,-0.083338265,0.574814506,0.275774641,-0.175924626,0.146309993,0.462891205,-0.56346588,0.439728187,0.096918443,-0.139400752,-0.250911382,-0.242026373,-0.157077509,-0.121351023
125,0.028427798,-0.189492132,-0.156996942,-1.266756262,-0.176571331,-0.375129011,-0.856847455,-0.101281952,-0.42848285,-0.101339138,-0.062710697,-0.846547336,-0.123958631,-0.458617716,-0.517368934,0.342363144,0.016287871,-0.564596842,-0.11660724,-0.091854818,-0.455696879,-0.309325246,-0.395271352,-0.201501663,-0.253656635,-0.197912326,-0.37838906,-0.123826188,0.02887375,-0.714604593,0.054423613,-0.471927519,-0.141110968,-0.097648159,-0.02704246,-0.044673027,0.083953188
126,0.122916463,-0.229454707,-0.23926045,-0.953194258,-0.231752313,-0.514461435,-0.734868183,-0.123525158,-0.47273073,-0.184300698,-0.132006339,-0.847384077,-0.211427936,-0.509185228,-0.443786461,0.056972595,-0.12339467,-0.691210071,-0.113223529,0.004539658,-0.391600077,-0.541404709,-0.315306038,-0.204329663,-0.254733947,-0.243373591,-0.05038954,-0.024185285,0.018884935,-0.789384037,-0.04471872,-0.50882824,-0.043241283,-0.02836361,-0.043473018,0.040441208,-0.035982437
127,0.305325695,0.336154858,-0.382991022,-0.725892887,-0.220411135,-0.435271217,-0.635126876,0.038056528,-0.147924508,-0.08839578,0.295107885,-0.114592414,-0.105586476,-0.453952876,-0.276594568,-0.340705517,0.701540877,-0.235014516,0.161348117,0.133902678,0.022173166,0.208973126,-0.456072787,-0.234130144,0.405026656,0.43624428,-0.014665708,0.10905865,0.090107721,-0.471612446,-0.071254772,-0.18787091,-0.132393331,-0.396620009,-0.547715133,-0.558921017,-0.557799984
128,0.002897884,0.165194069,-0.159815295,-0.710677141,0.398258226,0.52915766,0.0650663,0.148890686,-0.006460926,0.144426616,0.010009477,0.235491857,-0.05539383,0.207441371,-0.827647733,-0.242806369,-0.211035256,0.725770519,-0.08042251,0.133193517,0.792780833,0.765941073,0.158203888,0.213213859,0.12053613,0.028880097,0.468307372,0.412095546,0.774668385,0.146049007,0.541606257,0.047956153,-0.25826882,-0.201010813,-0.329619203,-0.388538731,-0.487409491
129,-0.194903886,-0.291677532,-0.496644769,-0.801910166,-0.324964957,-0.703950285,-0.991356964,-0.182015218,-0.364593105,-0.328074146,-0.193848137,-0.572376034,0.031233499,-0.563235893,-0.211123837,0.052847802,-0.004855207,-0.88192749,-0.131218925,-0.019485335,-0.22473336,-0.041704932,-0.123724679,-0.337098223,-0.135109323,-0.245430327,-0.031101989,-0.228670455,-0.004563915,-0.86942293,-0.18709353,0.175498966,-0.268260807,-0.096374167,-0.073361686,-0.073796571,-0.177361644
130,0.582133494,0.20233474,-0.138621939,-0.547934946,0.171919934,-0.383144113,-1.025698113,0.275890078,-0.014112744,-0.212377036,0.122620079,-0.115992482,-0.129346419,-0.613896165,0.059534963,-0.071681831,0.38561789,-0.466838403,0.144148662,0.340520746,0.119462547,0.335094803,-0.055762341,-0.163549473,0.527612916,0.345624983,-0.032624627,0.438728174,0.222903488,-0.692984398,0.039300506,0.346716738,0.038450671,-0.150059743,-0.308662107,-0.239133562,-0.356163222
131,0.225680625,0.274558661,-0.081809221,-0.97091656,0.374556715,0.578956812,-0.405034586,0.04546288,-0.119687452,0.292388639,0.043082769,-0.037857686,-0.353365421,-0.355019072,-1.141669942,-0.242197771,0.211936304,0.832335263,0.136424903,0.115098862,0.240363906,0.156784155,-0.171107555,-0.023767272,0.59938641,0.203512183,0.328271369,0.238611377,0.7317918,-0.249205681,0.422063861,0.044845573,-0.129872772,-0.294410412,-0.406848074,-0.43995371,-0.467218405
132,0.201507548,0.156006961,0.196641346,0.589668859,0.280080724,-0.1183589,0.196086488,0.153324896,0.290416282,0.035519124,0.081325777,0.412593204,0.239012782,0.340100622,0.538723524,-0.223007793,-0.120738445,0.082313136,-0.014813711,0.085137775,0.410023391,0.388265219,0.324108506,-0.009476355,-0.094027921,0.052912844,0.219572977,0.249420838,0.053031525,0.380619485,-0.055097102,0.396234393,0.071426613,-0.071741595,-0.166248245,-0.128713195,0.006862391
133,0.357554197,0.194748899,0.037719515,0.266758262,0.2025883,0.126464389,-0.260309089,0.244492384,-0.49006826,-0.157407728,-0.042559309,-0.0418333,0.104294463,-0.400743131,0.376297579,-0.077379069,0.070484762,-0.511744122,0.247821678,0.27970656,-0.181711973,0.100868631,0.182510782,-0.162253571,0.157253558,0.30795855,-0.278861016,0.306209038,0.100164785,-0.180758809,0.001324133,-0.211827755,0.064053304,0.139699981,0.136051082,0.112072105,0.120583403
134,0.17623621,0.26093286,0.069939208,0.349154148,-0.02441434,-0.253092533,0.178416275,0.194444431,0.324885331,0.165224746,0.418536534,0.30913639,0.111694654,0.076168412,0.621444781,0.046476647,0.118004281,-0.179310147,0.096482875,0.209851978,0.066396287,-0.06557125,0.022609176,-0.036262534,0.012052635,0.234852352,0.093269027,0.126148264,-0.126773589,0.13106258,-0.095164553,0.340256721,0.29145243,-0.273555085,0.020222845,0.044523354,-0.04705659
135,0.380432738,0.43267183,0.398758405,-0.486537515,-0.25279481,-0.271355384,-0.954792736,-0.008440186,-0.6288955,-0.272386298,-0.136104644,-0.561306433,-0.376183474,-1.275932268,-0.148905241,-0.075418163,0.562971601,-0.842086109,0.040389184,0.070124829,-0.709070201,-0.51278267,-0.710990661,-0.294884499,0.377700617,0.261099375,-0.214011098,0.10154067,-0.235094813,-0.419362531,-0.24586512,-0.195042812,-0.132097041,-0.164211466,-0.23599021,-0.256473722,-0.219045374
136,0.39142758,0.324080154,-0.227101942,-0.776235258,0.03841474,-0.289998715,-0.664612912,0.185961836,-0.209350296,0.114615125,0.354454592,-0.054598827,-0.183160843,-0.402530802,-0.133856798,-0.070579466,0.49730387,0.02259363,0.168579968,0.085099453,0.042900884,0.087309835,-0.213241401,-0.133129609,0.515519424,0.524124312,0.197861613,0.196953734,0.36885252,-0.363461628,0.152139526,-0.176236718,-0.04122664,-0.347857644,-0.517882263,-0.423554598,-0.346872233
137,0.471362069,0.449246732,0.01207912,-0.522009824,-0.207394682,-0.203047713,-0.846536065,-0.008707652,-0.559146476,-0.148646207,-0.066712541,-0.411404197,-0.459207768,-1.128811639,-0.18643934,-0.137458897,0.708779611,-0.655747607,0.171107348,0.200833746,-0.52867131,-0.40075355,-0.666744822,-0.387767531,0.495474371,0.43631605,-0.167584781,0.084977828,-0.146613817,-0.345895114,-0.143591824,-0.231239272,-0.115538138,-0.101947574,-0.320892434,-0.245441982,-0.285147217
138,0.381477169,0.342699554,-0.187697451,-1.050549531,0.228757094,0.166465501,-0.506862627,0.167339168,-0.023780273,0.042858491,0.133156218,0.050922912,-0.221101916,-0.445357365,-0.554716777,-0.216122872,0.611882497,0.260586833,0.40322711,0.17969882,0.132078744,0.096198955,-0.205607992,0.171883313,0.543299344,0.42322792,-0.031608596,0.480794441,0.312584964,-0.238860427,0.453761385,0.084620893,-0.180758107,-0.389879094,-0.649786283,-0.553968403,-0.492278869
139,0.227818985,0.487035483,0.061604333,-0.4698476,0.201254423,0.163442861,-0.278635253,0.210888006,0.111409894,0.33494831,0.235519528,0.054187106,-0.030756203,-0.359455746,-0.722829178,0.090798621,0.256963949,0.359133695,0.525945584,0.230350423,0.257311985,0.140078718,-0.060499845,-0.05782125,0.397798611,0.424831762,0.077232623,0.303633574,0.142295653,-0.19569948,0.127691725,0.044777284,0.005162563,-0.20563619,-0.351976656,-0.400837691,-0.384195113
140,-0.341824199,-0.178827276,-0.360322816,-0.129424187,-0.321084748,0.108017565,-0.313327082,-0.128590291,-0.248785754,-0.325204726,-0.28443005,-0.413075215,-0.019283003,-0.358994978,-0.082259486,-0.112874357,-0.335833679,-0.55363216,-0.180181111,-0.304388888,-0.093824976,-0.176126722,0.010068615,-0.092986665,-0.411612047,-0.403254488,-0.262677899,-0.319875867,-0.021217966,-0.330302058,-0.129415338,-0.073159509,-0.245427582,-0.027621636,0.032733003,0.036223754,-0.018014132
141,-0.125305152,-0.195089545,0.337524885,0.4394626,0.312371146,0.369714807,0.56816104,0.043132051,0.215804294,0.048385,-0.224007918,0.11683749,0.176965545,0.544348019,0.102884077,0.366701597,-0.653330547,0.164629919,-0.327372516,0.01738075,0.411699506,0.184147838,0.515302643,0.226115542,-0.376413259,-0.492607717,0.163039909,0.045744859,0.050670533,0.404920713,0.228780517,0.345326233,0.02060815,0.311412225,0.363079281,0.345075247,0.406594047
142,0.015628849,-0.15962345,0.168430098,0.576934691,0.200316786,0.031741307,0.307544806,0.126750348,0.261099253,-0.019867029,-0.029920573,0.243918851,0.075977199,0.181216504,0.272184888,0.075425558,-0.290398716,0.158823489,-0.191643781,-0.006365164,0.481307641,0.263362834,0.33268686,0.156095813,-0.129349966,-0.220675457,0.184827085,0.210743148,-0.204667239,0.356378786,-0.055189769,0.496667772,0.098264811,0.350230928,0.463756952,0.087858619,0.060750477
143,0.041817501,0.027166188,0.360347566,0.493032355,0.09267569,0.150289839,0.202799404,0.12045542,-0.342664015,0.073420376,-0.287309976,-0.570748971,0.06324531,0.076323495,0.39358401,0.300354825,-0.432459683,-0.175417674,-0.125895465,-0.124817119,0.033010612,-0.143208924,0.111647692,0.154928941,-0.173520308,-0.055498573,0.017258317,-0.069836213,0.007800196,-0.2118248,0.024081803,0.11649365,-0.090091763,0.270919331,0.401978565,0.414315905,0.346843764
144,-0.220959466,-0.108255534,0.030043426,-0.366506634,-0.105232228,0.06831211,0.096532178,-0.017679665,-0.001646664,-0.158148876,-0.214920566,-0.112042592,0.187292842,0.018965674,-0.131945212,0.114777352,-0.274232721,-0.485906091,-0.080848719,-0.146460038,0.119811177,0.102944351,0.284450294,0.120285479,-0.3893123,-0.348388121,-0.112905884,-0.128909288,-0.184323455,0.067622171,0.034480109,0.121279866,-0.063317561,0.157004048,0.217460488,0.186783975,0.140463089
145,0.046173765,0.000289978,0.304124793,0.683717003,0.1161732,0.206164729,0.689157301,0.056760098,0.364596672,0.145797105,0.014287945,0.404996683,0.16509915,0.559833175,0.348893427,0.062690753,-0.10127349,0.260248526,-0.029062217,0.072949497,0.326636058,0.130198243,0.181330295,0.226845374,-0.121097333,-0.035918441,0.128190391,0.055593234,-0.214595982,0.509068335,-0.01497202,0.202000143,0.094752565,0.130013249,0.144624304,0.122115611,0.0896575
