,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3
75,0.337212702,0.155922156,0.34245696,-0.136930397,0.659079926,0.010712323,0.370495331,-0.170662958,0.169612666,0.178314794,0.101615446,-0.078845725,0.261844377,0.216101256,-0.351396603,0.08434672
76,0.088011935,0.194566706,0.287413112,0.185735404,0.19140781,0.240221141,0.306504855,0.257314796,-0.01036611,0.290115401,0.155081992,0.117461626,0.06440378,0.100799468,0.054158523,0.134168803
77,0.158237516,0.236940217,0.546773671,0.318034074,0.349780325,0.110096842,0.4391215,-0.004038616,0.083497421,0.354043875,0.069841712,0.242938948,0.112380679,0.265853126,-0.233996973,0.175135387
78,-0.160399432,0.417350632,0.210892707,0.399343616,-0.432341587,0.182778958,0.182366022,0.369401565,0.257875759,-0.411727669,-0.236009913,-0.003441199,0.069508272,-0.060846891,0.432779292,0.133035575
79,-0.535706306,0.126957133,-0.137997755,-0.046121963,0.070265915,-0.243565516,0.200796097,-0.038368994,-0.11262437,-0.156917435,-0.14929455,0.571125355,0.278377145,0.023442068,-0.401092686,-0.129851881
80,0.151750746,-0.030319219,0.456459189,0.129033217,0.493804444,0.174947259,0.283904496,-0.03758538,-0.096715451,0.359228992,0.134659043,0.635332813,0.030827426,0.253303451,-0.066806092,0.195499881
81,0.203567828,0.396490875,-0.314332601,0.161541623,-0.121066581,0.0082206,-0.089390877,0.106293527,0.501716794,0.088112547,0.334976222,0.247778489,0.275129357,0.010467969,0.22250935,-0.119364531
82,0.258618953,-0.048699635,0.24020357,0.21200574,0.11105893,0.20847694,0.123090214,-0.346229936,0.275064686,0.363865019,-0.286158816,0.16789033,-0.231880782,0.103699691,0.345801163,-0.102760969
83,0.378236237,0.416267825,0.32038328,0.565639753,-0.109100931,0.105986869,0.094949638,0.129529101,0.205854246,0.026135973,0.064757909,0.32478476,0.20202295,0.393470865,-0.012639023,0.212401799
84,0.753576993,0.071522208,0.343809805,-0.22203075,0.441552372,-0.382967894,0.110326404,-0.763510026,0.415657637,0.28010052,-0.033760885,-0.316312286,0.558431681,-0.035502503,-0.695279363,-0.305207125
85,0.424919977,0.143440901,-0.153326991,0.001213387,-0.123280544,0.040786991,-0.207609049,-0.081486422,0.295268609,-0.065553552,0.193649587,0.430815319,-0.015169378,-0.076366485,0.22697116,-0.023022365
86,-0.14039044,-0.300020537,0.17389595,0.777345167,-0.234252493,-0.168565626,0.250313325,0.629973062,-0.180932717,-0.0998778,-0.236848289,0.131441974,-0.073292588,-0.249738076,0.608736727,0.649084184
87,-0.009649977,0.267676565,-0.056321847,0.27240384,0.362749004,0.062654803,0.095630423,-0.038004379,0.286787296,0.013033475,0.227813926,0.094889815,0.333728682,0.167925735,0.011359204,0.111116229
88,-0.307404168,0.186427629,0.382640589,0.127098339,0.360075461,0.154565669,0.477318249,0.350158781,0.070093886,-0.015940666,0.016583768,0.326350995,0.522286405,0.251155739,-0.397911538,-0.240716322
89,0.124087452,-0.205632687,-0.149479367,-0.065932464,-0.150902047,-0.255043829,-0.070242294,-0.379834061,0.234071766,0.163511746,-0.112989734,-0.829251882,0.037942813,-0.228958535,-0.248070903,-0.12506012
90,0.282689304,0.372362214,-0.117036824,-0.084257152,-0.060429645,0.413070218,-0.240908546,0.151199682,0.221961692,0.081371394,0.460316793,0.397390487,0.071607485,0.317670884,0.034380807,0.042996798
91,-0.116545116,-0.395901323,-0.85279645,-0.739605237,0.16282698,-1.136379248,-0.474660423,-1.130864602,0.038628536,0.529996973,0.230066449,-1.05517277,0.029687303,-0.206052662,-0.277111078,0.124155379
92,-0.031746332,0.284002811,0.111958951,0.081255502,0.120942529,0.247443497,0.24770929,0.353735136,0.103822158,0.19176384,0.309138405,0.047406337,0.040134609,0.09259089,0.207764672,-0.152197689
93,0.040550172,0.182135262,0.547920371,0.498087279,0.176751067,0.109307596,0.500842957,0.32198481,0.00407032,0.269340395,0.037115719,0.288325703,-0.008966627,0.21503911,0.051403251,0.416398704
94,0.010986791,-0.013591807,0.010731289,-0.047060601,0.07140238,0.003879861,-0.038570652,0.136226934,-0.063967166,-0.040681472,0.033184081,0.0900019,-0.012445304,-0.075639814,0.068112406,-0.024379147
95,0.3081641,-0.209165802,0.197835042,-0.048015061,0.157304491,-0.249778185,0.185012436,-0.906856222,0.275051948,0.216748591,-0.010815749,-0.314602107,0.089113678,-0.050572944,-0.559750774,-0.072701451
96,0.3677604,0.447667779,0.255087728,0.313937153,0.396452529,0.354121909,0.354551948,0.357452106,0.354626819,0.507342831,0.417236027,0.541211312,0.331168535,0.430284718,0.15349599,0.254066154
97,0.349719879,0.045647841,0.062852067,-0.043100253,-0.105022882,0.152389678,-0.011830999,0.301559191,0.137525572,-0.155778003,0.328439966,0.335416746,-0.016282432,-0.06607073,0.126197368,0.002668611
98,-0.22767752,0.261149085,0.038836931,0.422438025,-0.148056396,0.308816976,-0.154166962,0.612483277,-0.047786098,-0.72637386,-0.191459005,-0.498269212,0.105016018,-0.219070244,0.462726025,0.447338028
99,-0.070419465,0.254454941,-0.011647461,0.056940995,-0.050937558,0.396513746,0.003899242,0.145007143,0.305203153,0.418054128,0.431138981,0.301906856,-0.00244187,0.372761804,0.289057461,0.344913792
100,0.06985422,0.324087266,0.178154792,0.493846774,-0.093107614,0.348833653,-0.023426434,0.475607648,0.129043472,-0.448436475,-0.050138413,-0.248559165,0.210518761,-0.017401179,0.350978714,0.387917204
101,-0.208780638,0.105626878,0.389053848,0.196962286,0.485818873,0.214247427,0.652019174,0.292886967,0.059115118,-0.205963873,-0.002491976,0.130850184,0.41004211,0.441530755,-0.276797781,-0.090030541
102,0.094462645,0.326137574,0.421218653,0.269523512,0.328103131,0.408961619,0.135469946,0.149598619,0.342694228,0.32780014,0.454084254,0.401910796,0.480618043,0.351763005,0.262992215,-0.024887882
103,0.645701952,-0.042324324,0.318977866,0.034572487,0.184276544,-0.183272626,0.266993879,-0.899628648,0.452324455,0.551906884,0.194198927,-0.327159789,0.1688387,0.110537764,-0.347892745,-0.01586058
104,-0.068678316,-0.147241764,-0.034348998,-0.04118725,0.172001285,0.062109936,0.151127201,-0.302979104,-0.154003479,0.158929837,-0.25810563,0.023378785,0.114380714,-0.008727929,-0.314273303,-0.113083111
105,0.249993654,0.000111461,0.200417143,0.129945356,0.114268797,-0.238962627,0.235667779,-0.616227028,0.271642232,0.279650334,-0.014235597,-0.129048577,0.206506498,0.086415557,-0.353747055,0.083409031
106,-0.175491831,-0.111128309,0.354028354,0.240343934,0.082258264,0.01349335,0.327409547,-0.05743279,-0.285461688,-0.090607256,-0.224736775,-0.136530154,-0.19711913,0.087819631,-0.037563216,0.244532827
107,0.072724943,0.371721146,0.309429299,0.016563781,0.315292213,0.15598129,0.176975955,0.035677453,0.130629481,0.363306077,-0.17478392,-0.073984548,-0.143196271,-0.122357666,0.023892739,0.369165547
108,0.281240831,-0.313675493,0.13985641,-0.073357319,0.134959868,-0.226201849,0.155688746,-0.795217244,0.208717378,0.192445041,0.095674826,-0.19579681,-0.026466812,-0.107658661,-0.434989547,-0.112420853
109,-0.326205268,0.100448414,-0.191801702,-0.084375667,0.033110024,-0.178836936,0.108162473,0.097694636,-0.133264707,-0.306979734,-0.216206305,0.410619374,0.28854834,0.026797489,-0.090862262,-0.011846919
110,-0.373380953,0.717804193,-0.299769467,-0.15635063,-0.253486862,-0.482361849,0.217309256,0.215825882,-0.284267311,-0.388932087,-0.166435758,-0.155755763,-0.39412796,-0.292157416,-0.214425654,-0.330058731
111,-0.137474215,0.007121895,0.101869936,-0.160819021,-0.018202531,0.223753949,0.058318699,0.239544422,-0.08148554,0.135251411,0.067693195,-0.135256961,-0.082327095,-0.209438868,0.043439355,-0.061653087
112,0.185724846,0.044269726,0.048269192,-0.13442378,0.428041168,0.547868078,0.171615213,0.008871361,-0.156041769,0.182024046,0.212530308,0.32303852,0.264217549,0.123173063,0.088958126,-0.078781323
113,0.213231166,0.303854478,0.495748427,0.264211414,0.481010339,0.360441748,0.254565248,0.570923462,0.329668722,0.323690002,0.680289047,0.409148887,0.438356935,0.390504289,0.521254334,0.356650661
114,0.053454891,0.018166894,0.00945406,0.022493338,-0.327532158,-0.194719156,-0.050306458,-0.401301693,-0.238528188,-0.058424768,-0.159125654,-0.053326915,0.001904389,-0.147362679,-0.076697383,0.044020281
115,0.390276716,-0.197316798,0.148890554,-0.026164458,0.191484335,-0.228003233,0.138077727,-0.72630781,0.146423409,0.30773642,-0.102146982,-0.008878261,0.119456921,0.20274866,-0.405219291,0.041470769
116,0.105053796,-0.205027372,-0.022285346,-0.351613114,0.053534206,-0.231782791,0.025921703,-0.688039341,0.161586935,0.21668207,-0.173467436,-0.312378339,-0.227206149,-0.273148219,-0.447422419,-0.197035843
117,0.327402747,-0.079020513,0.02822502,-0.263639695,0.08378002,-0.232155002,0.129084631,-0.923926025,0.206183588,0.067318953,-0.018058047,-0.217998876,0.109497126,-0.047539999,-0.504083561,-0.143463138
118,0.188590681,0.480687454,-0.022476974,0.169172335,0.617131178,0.270673426,0.281305356,0.357001932,-0.057996397,-0.376019864,0.114086844,0.070022576,0.196809363,-0.131080448,-0.215655108,-0.16516799
119,0.037219022,0.393500042,-0.189451637,0.189227913,0.44837546,0.097624448,0.057266138,-0.048334585,0.455653363,0.206397703,0.421255855,0.090043317,0.304744017,0.159935078,-0.14464583,0.108811929
120,0.146753183,0.150681634,0.014876313,-0.009655394,-0.003353242,0.098244647,-0.150674587,0.340410063,0.057287,-0.394574958,0.151876702,0.319615701,0.003569091,-0.054188813,0.113743732,-0.004582056
121,0.14892109,0.300734677,-0.069498271,0.395946031,-0.1913312,0.28660241,-0.103694323,0.11840603,0.170928337,0.323549853,0.282632969,0.138026793,0.347443576,-0.03500805,0.224933944,-0.032453973
122,-0.166826717,-0.124052029,0.15276729,0.20986329,-0.022549595,0.01235716,-0.069521377,-0.311718052,-0.075756675,0.233355866,0.195607556,-0.090576014,-0.027451771,-0.004219741,-0.06373482,-0.18144665
123,-0.003255253,0.062191057,0.021026786,0.005055245,0.034424893,0.028865254,0.004810036,0.09187901,-0.017827594,-0.008904323,0.019155894,0.04038985,0.008707283,-0.013930576,0.080055406,0.062137203
124,0.500666289,-0.110740423,0.153245482,0.080909788,0.127448117,-0.074356061,0.082812093,-0.813795892,0.281620829,0.292388386,-0.018383477,-0.110274487,0.210351461,0.098891654,-0.502735458,-0.187455904
125,0.417388717,0.115726603,-0.591952596,-0.046259493,0.544814918,-0.069833914,-0.186593772,-0.496026781,0.357520433,-0.248707464,0.269341561,-0.322579718,0.359948221,-0.101130301,-0.398709061,-0.119319164
126,0.308027783,0.169918179,-0.397160843,-0.086377643,0.485214493,-0.141150214,-0.102134778,-0.645640034,0.385759245,-0.268588009,0.251684655,-0.361477802,0.475114481,-0.100798263,-0.50338322,-0.05156365
127,0.579168699,0.266478387,0.012339767,0.120605042,-0.010879038,0.260154888,-0.208428436,0.007349812,0.300787734,0.163197419,0.512547198,0.635029489,0.200437397,0.279809824,-0.10666166,0.064712399
128,0.377415782,-0.401258768,0.230745969,-0.221092601,0.108141497,-0.157748806,0.311167266,-0.515787772,-0.074652328,-0.045186757,-0.057849164,0.116577876,-0.055604384,0.012223801,0.105516695,0.193108063
129,0.066777766,0.226676608,0.241298639,0.361993057,0.221906613,0.093484234,0.1644958,0.119694406,0.297571188,0.256757814,0.065483018,0.549240911,0.186254358,0.276756109,0.055494227,0.453161006
130,0.321289592,0.604102892,-0.407076627,0.392945973,-0.20923043,0.247615513,-0.145592644,0.264207805,0.589055543,0.178191528,0.197237201,0.283813299,0.202403392,0.25704719,0.19968461,-0.050514631
131,0.497116101,-0.26191813,0.271138276,-0.166987323,0.023990222,-0.314760433,0.139112321,-1.040855489,0.289101514,0.263720438,0.09511239,-0.076176262,0.029824302,-0.159752728,-0.516641049,-0.141965753
132,-0.284926198,0.247372546,-0.380105466,0.072207988,-0.275035817,0.047171883,-0.313805553,0.333895335,0.129055292,-0.245365074,0.027250221,0.092735547,0.037845892,0.110100117,0.370547064,-0.042412997
133,0.011952187,0.190688169,-0.318557981,-0.207103589,0.062584883,-0.124164463,-0.179676465,-0.083801271,0.475409173,0.259525773,0.267167845,-0.720305259,0.495333056,0.407311855,0.006641053,0.06075961
134,-0.16388468,0.138136233,-0.242650122,0.111989711,-0.374138486,0.008715093,-0.075741298,0.11294343,0.212172247,-0.103872797,0.056167538,-0.155324971,-0.029945601,-0.098714463,0.00389096,0.025933066
135,0.247457395,0.492008159,-0.372019304,0.122948628,0.324083199,0.085140268,-0.099993439,-0.235697334,0.690283326,0.376965666,0.64186521,0.183498645,0.44040581,0.153788365,-0.337815478,0.030447271
136,0.215310223,0.215548505,0.005356465,0.364586382,-0.224880858,-0.076038281,-0.069487356,-0.164454445,0.381009349,0.149020028,0.169457417,-0.141561149,0.236496387,0.051947098,-0.044618245,-0.064504818
137,0.290407534,0.285983717,-0.317476263,0.093618934,0.238493019,0.03275528,-0.182672665,-0.401267288,0.708929544,0.413160994,0.718147981,0.193182084,0.382871092,0.162461342,-0.475750364,-0.185331543
138,0.47017662,0.014392553,0.133444464,0.19889649,0.185036539,0.132753838,0.053837059,-0.38339039,0.255475597,0.243313679,0.032740211,0.191652807,-0.017449647,-0.173716342,-0.311173876,-0.402295641
139,0.285093121,-0.074484565,0.16984235,0.001174841,-0.082320041,-0.211157121,0.198551414,-0.567132825,0.224099749,0.40250969,0.071675839,0.022534472,0.246506322,-0.151710455,-0.277740259,-0.080496107
140,-0.14986171,0.083297904,0.267914235,0.352509792,0.23037951,0.18445239,0.293853638,0.197976166,-0.184767092,0.115138423,-0.105349909,0.1889206,0.062419908,0.15007403,0.297288096,0.194713504
141,-0.338303602,-0.313019503,-0.111954601,-0.119943736,0.026516647,-0.137458023,-0.020935123,-0.057408584,-0.401567586,-0.238186359,-0.374444515,-0.22915441,-0.203762813,-0.120979613,0.21765069,0.107728374
142,-0.331570699,-0.316974031,-0.154604649,-0.273347796,0.02646482,-0.052386346,-0.303972064,0.020818787,-0.14945512,-0.138586277,-0.14162144,0.096631836,-0.087693742,-0.024998601,0.028139445,0.116220987
143,-0.003760256,0.042062955,-0.308059491,0.060290458,0.162060839,-0.014661284,-0.106121415,-0.176241289,-0.119948684,-0.080244813,0.024862959,-0.097482323,0.170924279,0.039341768,0.034219139,0.015557539
144,-0.224946486,-0.018292979,0.126077607,0.076778616,0.170181302,0.122228936,0.147719771,0.191152275,-0.262602732,-0.042331492,-0.143419026,0.068054459,-0.124256846,0.022273276,0.079254874,0.143971709
145,-0.112881616,-0.040168067,-0.207120925,-0.233274714,-0.112894219,0.003293606,-0.220416545,0.111687019,-0.159519173,-0.204748423,-0.028105823,0.015798524,-0.132440656,-0.131335664,0.082242379,-0.042609269
